,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:01,05:31,06:33,01:09,01:30,04:37,05:31,06:00,07:37,07:42,08:54,09:15
2,04:59,05:29,06:31,01:09,01:30,04:38,05:32,06:00,07:38,07:43,08:55,09:15
3,04:57,05:27,06:29,01:09,01:30,04:39,05:34,06:00,07:40,07:45,08:56,09:15
4,04:54,05:24,06:26,01:09,01:30,04:40,05:35,06:00,07:42,07:47,08:58,09:15
5,04:52,05:22,06:24,01:08,01:30,04:41,05:36,06:00,07:43,07:48,08:59,09:15
6,04:50,05:20,06:22,01:08,01:15,04:42,05:37,06:00,07:45,07:50,09:01,09:15
7,04:48,05:18,06:20,01:08,01:30,04:43,05:38,06:00,07:47,07:52,09:03,09:15
8,04:45,05:15,06:17,01:07,01:30,04:43,05:40,06:00,07:48,07:53,09:04,09:30
9,04:43,05:13,06:15,01:07,01:30,04:44,05:41,06:00,07:50,07:55,09:05,09:30
10,04:41,05:11,06:13,01:07,01:30,04:45,05:42,06:00,07:52,07:57,09:07,09:30
11,04:39,05:09,06:11,01:07,01:30,04:46,05:43,06:00,07:53,07:58,09:08,09:30
12,04:37,05:07,06:09,01:06,01:30,04:47,05:44,06:00,07:55,08:00,09:10,09:30
13,04:35,05:05,06:07,01:06,01:15,04:47,05:45,06:00,07:57,08:02,09:12,09:30
14,04:32,05:02,06:04,01:06,01:30,04:48,05:47,06:00,07:58,08:03,09:13,09:30
15,04:30,05:00,06:02,01:06,01:30,04:49,05:48,06:15,08:00,08:05,09:15,09:45
16,04:28,04:58,06:00,01:05,01:30,04:50,05:49,06:15,08:02,08:07,09:17,09:45
17,04:26,04:56,05:58,01:05,01:30,04:51,05:50,06:15,08:03,08:08,09:17,09:45
18,04:23,04:53,05:56,01:05,01:30,04:51,05:51,06:15,08:05,08:10,09:19,09:45
19,04:21,04:51,05:54,01:05,01:30,04:52,05:52,06:15,08:07,08:12,09:21,09:45
20,04:19,04:49,05:52,01:04,01:15,04:53,05:53,06:15,08:08,08:13,09:22,09:45
21,04:16,04:46,05:50,01:04,01:30,04:54,05:54,06:15,08:10,08:15,09:24,09:45
22,04:13,04:43,05:47,01:04,01:30,04:54,05:55,06:15,08:12,08:17,09:26,09:45
23,04:11,04:41,05:45,01:04,01:30,04:55,05:56,06:30,08:13,08:18,09:26,09:45
24,04:08,04:38,05:43,01:04,01:30,04:56,05:58,06:30,08:15,08:20,09:28,09:45
25,04:06,04:36,05:41,01:03,01:30,04:56,05:59,06:30,08:17,08:22,09:30,09:45
26,04:04,04:34,05:39,01:03,01:30,04:57,06:00,06:30,08:18,08:23,09:30,09:45
27,04:01,04:31,05:37,01:03,01:15,04:58,06:01,06:30,08:20,08:25,09:32,09:45
28,03:59,04:29,05:35,01:03,01:30,04:59,06:02,06:30,08:22,08:27,09:34,09:45
29,03:57,04:27,05:33,01:03,01:30,04:59,06:03,06:30,08:23,08:28,09:34,09:45
30,03:55,04:25,05:32,01:03,01:30,05:00,06:04,06:30,08:25,08:30,09:36,09:45
