,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:59,06:29,07:36,12:19,12:45,02:26,03:02,03:30,04:53,04:58,06:29,07:15
2,05:57,06:27,07:34,12:19,12:25,02:27,03:04,03:30,04:55,05:00,06:30,07:15
3,05:56,06:26,07:33,12:19,12:45,02:29,03:05,03:30,04:57,05:02,06:31,07:15
4,05:54,06:24,07:31,12:19,12:45,02:30,03:07,03:30,04:58,05:03,06:32,07:15
5,05:53,06:23,07:30,12:19,12:45,02:31,03:09,03:30,05:00,05:05,06:33,07:15
6,05:51,06:21,07:28,12:20,12:45,02:33,03:10,03:30,05:02,05:07,06:35,07:15
7,05:49,06:19,07:26,12:20,12:45,02:34,03:12,03:30,05:04,05:09,06:36,07:15
8,05:47,06:17,07:24,12:20,12:45,02:36,03:14,03:45,05:06,05:11,06:38,07:15
9,05:46,06:16,07:23,12:20,12:25,02:37,03:16,03:45,05:07,05:12,06:38,07:15
10,05:44,06:14,07:21,12:20,12:45,02:39,03:17,03:45,05:09,05:14,06:40,07:15
11,05:42,06:12,07:19,12:20,12:45,02:40,03:19,03:45,05:11,05:16,06:42,07:15
12,05:40,06:10,07:17,12:20,12:45,02:41,03:21,03:45,05:13,05:18,06:44,07:15
13,05:38,06:08,07:15,12:20,12:45,02:43,03:22,03:45,05:15,05:20,06:45,07:15
14,05:36,06:06,07:13,12:20,12:45,02:44,03:24,03:45,05:17,05:22,06:47,07:15
15,05:35,06:05,07:12,12:20,12:45,02:46,03:26,03:45,05:18,05:23,06:48,07:15
16,05:33,06:03,07:10,12:20,12:25,02:47,03:27,03:45,05:20,05:25,06:50,07:15
17,05:31,06:01,07:08,12:20,12:45,02:48,03:29,03:45,05:22,05:27,06:51,07:15
18,05:29,05:59,07:06,12:19,12:45,02:50,03:31,03:45,05:24,05:29,06:53,07:15
19,05:27,05:57,07:04,12:19,12:45,02:51,03:32,03:45,05:26,05:31,06:55,07:15
20,05:25,05:55,07:02,12:19,12:45,02:53,03:34,03:45,05:28,05:33,06:57,07:15
21,05:23,05:53,07:00,12:19,12:45,02:54,03:36,03:45,05:29,05:34,06:57,07:15
22,05:21,05:51,06:58,12:19,12:45,02:55,03:37,04:00,05:31,05:36,06:59,07:30
23,05:19,05:49,06:56,12:19,12:25,02:57,03:39,04:00,05:33,05:38,07:01,07:30
24,05:17,05:47,06:54,12:19,12:45,02:58,03:41,04:00,05:35,05:40,07:03,07:30
25,05:14,05:44,06:51,12:19,12:45,02:59,03:42,04:00,05:37,05:42,07:04,07:30
26,05:12,05:42,06:49,12:18,12:45,03:01,03:44,04:00,05:38,05:43,07:05,07:30
27,05:10,05:40,06:47,12:18,12:45,03:02,03:45,04:00,05:40,05:45,07:07,07:30
28,05:08,05:38,06:45,12:18,12:45,03:03,03:47,04:00,05:42,05:47,07:09,07:30
