,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,02:52,03:07,04:46,01:03,01:15,05:18,06:31,06:45,09:11,09:26,10:27,11:00
2,02:50,03:05,04:45,01:03,01:30,05:19,06:32,06:45,09:12,09:27,10:29,11:00
3,02:50,03:05,04:45,01:04,01:30,05:19,06:33,06:45,09:13,09:28,10:30,11:00
4,02:48,03:03,04:44,01:04,01:30,05:20,06:33,06:45,09:14,09:29,10:31,11:00
5,02:47,03:02,04:43,01:04,01:30,05:20,06:34,06:45,09:15,09:30,10:33,11:00
6,02:46,03:01,04:43,01:04,01:30,05:21,06:34,07:00,09:16,09:31,10:34,11:00
7,02:45,03:00,04:42,01:04,01:30,05:21,06:35,07:00,09:17,09:32,10:35,11:00
8,02:44,02:59,04:42,01:05,01:15,05:21,06:35,07:00,09:18,09:33,10:36,11:00
9,02:43,02:58,04:41,01:05,01:30,05:22,06:36,07:00,09:19,09:34,10:38,11:00
10,02:42,02:57,04:41,01:05,01:30,05:22,06:36,07:00,09:19,09:34,10:38,11:00
11,02:42,02:57,04:41,01:05,01:30,05:22,06:37,07:00,09:20,09:35,10:40,11:00
12,02:40,02:55,04:40,01:05,01:30,05:23,06:37,07:00,09:21,09:36,10:41,11:00
13,02:39,02:54,04:40,01:06,01:30,05:23,06:38,07:00,09:21,09:36,10:42,11:00
14,02:39,02:54,04:40,01:06,01:30,05:23,06:38,07:00,09:22,09:37,10:43,11:00
15,02:39,03:09,04:40,01:06,01:15,05:24,06:38,07:00,09:22,09:27,10:43,11:00
16,02:39,03:09,04:40,01:06,01:30,05:24,06:39,07:00,09:23,09:28,10:43,11:00
17,02:39,03:09,04:40,01:06,01:30,05:24,06:39,07:00,09:23,09:28,10:43,11:00
18,02:39,03:09,04:40,01:07,01:30,05:25,06:39,07:00,09:24,09:29,10:43,11:00
19,02:39,03:09,04:40,01:07,01:30,05:25,06:40,07:00,09:24,09:39,10:43,11:00
20,02:40,03:10,04:40,01:07,01:30,05:25,06:40,07:00,09:24,09:29,10:43,11:00
21,02:40,03:10,04:40,01:07,01:30,05:25,06:40,07:00,09:24,09:29,10:42,11:00
22,02:40,03:10,04:40,01:08,01:15,05:25,06:40,07:00,09:25,09:30,10:42,11:00
23,02:42,03:12,04:41,01:08,01:30,05:26,06:40,07:00,09:25,09:30,10:42,11:00
24,02:42,03:12,04:41,01:08,01:30,05:26,06:41,07:00,09:25,09:30,10:41,11:00
25,02:42,03:12,04:41,01:08,01:30,05:26,06:41,07:00,09:25,09:30,10:41,11:00
26,02:44,03:14,04:42,01:08,01:30,05:26,06:41,07:00,09:25,09:30,10:41,11:00
27,02:44,03:14,04:42,01:09,01:30,05:26,06:41,07:00,09:25,09:30,10:40,11:00
28,02:46,03:16,04:43,01:09,01:30,05:26,06:41,07:00,09:25,09:30,10:40,11:00
29,02:46,03:16,04:43,01:09,01:15,05:26,06:41,07:00,09:24,09:29,10:38,11:00
30,02:47,03:17,04:44,01:09,01:30,05:26,06:41,07:00,09:24,09:29,10:37,11:00
