,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:30,06:00,06:58,12:55,01:30,03:56,04:44,05:00,06:42,06:47,08:00,08:15
2,05:32,06:02,07:00,12:55,01:30,03:55,04:42,05:00,06:39,06:44,07:57,08:15
3,05:33,06:03,07:01,12:55,01:30,03:53,04:40,05:00,06:37,06:42,07:56,08:15
4,05:35,06:05,07:03,12:54,01:30,03:51,04:38,05:00,06:35,06:40,07:54,08:15
5,05:35,06:05,07:04,12:54,01:15,03:50,04:36,05:00,06:32,06:37,07:51,08:15
6,05:37,06:07,07:06,12:54,01:30,03:48,04:34,05:00,06:30,06:35,07:49,08:15
7,05:39,06:09,07:08,12:53,01:30,03:46,04:32,05:00,06:28,06:33,07:49,08:15
8,05:39,06:09,07:09,12:53,01:30,03:45,04:30,05:00,06:26,06:31,07:47,08:15
9,05:41,06:11,07:11,12:53,01:30,03:43,04:28,04:45,06:24,06:29,07:45,08:00
10,05:43,06:13,07:13,12:53,01:30,03:41,04:26,04:45,06:21,06:26,07:42,08:00
11,05:43,06:13,07:14,12:52,01:30,03:39,04:24,04:45,06:19,06:24,07:40,08:00
12,05:45,06:15,07:16,12:52,01:15,03:38,04:22,04:45,06:17,06:22,07:38,08:00
13,05:47,06:17,07:18,12:52,01:30,03:36,04:20,04:45,06:15,06:20,07:38,08:00
14,05:48,06:18,07:20,12:52,01:30,03:34,04:18,04:45,06:13,06:18,07:36,08:00
15,05:49,06:19,07:21,12:51,01:30,03:33,04:16,04:45,06:11,06:16,07:34,08:00
16,05:51,06:21,07:23,12:51,01:30,03:31,04:14,04:45,06:08,06:13,07:31,08:00
17,05:52,06:22,07:25,12:51,01:30,03:30,04:12,04:30,06:06,06:11,07:29,07:45
18,05:53,06:23,07:26,12:51,01:30,03:28,04:10,04:30,06:04,06:09,07:27,07:45
19,05:55,06:25,07:28,12:50,01:15,03:26,04:08,04:30,06:02,06:07,07:25,07:45
20,05:57,06:27,07:30,12:50,01:30,03:25,04:06,04:30,06:00,06:05,07:23,07:45
21,05:58,06:28,07:32,12:50,01:30,03:23,04:05,04:30,05:58,06:03,07:23,07:45
22,05:59,06:29,07:33,12:50,01:30,03:21,04:03,04:30,05:56,06:01,07:21,07:45
23,06:00,06:30,07:35,12:50,01:30,03:20,04:01,04:15,05:54,05:59,07:19,07:45
24,06:02,06:32,07:37,12:50,01:30,03:18,03:59,04:15,05:52,05:57,07:17,07:45
25,06:03,06:33,07:38,12:50,01:30,03:17,03:57,04:15,05:50,05:55,07:17,07:45
26,06:04,06:34,07:40,12:49,01:15,03:15,03:55,04:15,05:48,05:53,07:15,07:45
27,06:06,06:36,07:42,12:49,01:30,03:14,03:54,04:15,05:46,05:51,07:13,07:45
28,05:08,05:38,06:44,11:49,12:45,02:12,02:52,03:00,04:44,04:49,06:11,07:15
29,05:08,05:38,06:45,11:49,12:45,02:11,02:50,03:00,04:42,04:47,06:09,07:15
30,05:10,05:40,06:47,11:49,12:45,02:09,02:48,03:00,04:40,04:45,06:07,07:15
31,05:12,05:42,06:49,11:49,12:45,02:08,02:47,03:00,04:39,04:44,06:06,07:15
