,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,04:38,05:08,06:10,01:06,01:30,04:44,05:41,06:00,07:50,07:55,09:01,09:15
2,04:39,05:09,06:11,01:05,01:30,04:42,05:39,06:00,07:48,07:53,08:59,09:15
3,04:41,05:11,06:13,01:05,01:30,04:41,05:37,06:00,07:46,07:51,08:57,09:15
4,04:43,05:13,06:15,01:05,01:30,04:39,05:35,06:00,07:43,07:48,08:55,09:15
5,04:44,05:14,06:16,01:04,01:30,04:38,05:34,06:00,07:41,07:46,08:53,09:15
6,04:46,05:16,06:18,01:04,01:30,04:36,05:32,06:00,07:39,07:44,08:51,09:15
7,04:47,05:17,06:19,01:04,01:15,04:35,05:30,06:00,07:37,07:42,08:50,09:15
8,04:49,05:19,06:21,01:03,01:30,04:34,05:28,06:00,07:34,07:39,08:47,09:15
9,04:51,05:21,06:23,01:03,01:30,04:32,05:26,05:45,07:32,07:37,08:45,09:00
10,04:52,05:22,06:24,01:03,01:30,04:31,05:24,05:45,07:30,07:35,08:43,09:00
11,04:54,05:24,06:26,01:02,01:30,04:29,05:23,05:45,07:27,07:32,08:41,09:00
12,04:55,05:25,06:27,01:02,01:30,04:27,05:21,05:45,07:25,07:30,08:39,09:00
13,04:57,05:27,06:29,01:01,01:30,04:26,05:19,05:45,07:23,07:28,08:37,09:00
14,04:59,05:29,06:31,01:01,01:15,04:24,05:17,05:45,07:21,07:26,08:35,09:00
15,05:00,05:30,06:32,01:01,01:30,04:23,05:15,05:45,07:18,07:23,08:33,09:00
16,05:03,05:33,06:34,01:00,01:30,04:21,05:13,05:30,07:16,07:21,08:31,08:45
17,05:04,05:34,06:35,01:00,01:30,04:20,05:11,05:30,07:14,07:19,08:29,08:45
18,05:06,05:36,06:37,01:00,01:30,04:18,05:09,05:30,07:11,07:16,08:26,08:45
19,05:09,05:39,06:39,12:59,01:30,04:16,05:07,05:30,07:09,07:14,08:24,08:45
20,05:10,05:40,06:40,12:59,01:30,04:15,05:05,05:30,07:07,07:12,08:22,08:45
21,05:12,05:42,06:42,12:59,01:15,04:13,05:04,05:30,07:04,07:09,08:20,08:45
22,05:14,05:44,06:43,12:58,01:30,04:11,05:02,05:30,07:02,07:07,08:18,08:45
23,05:16,05:46,06:45,12:58,01:30,04:10,05:00,05:15,07:00,07:05,08:16,08:30
24,05:18,05:48,06:47,12:58,01:30,04:08,04:58,05:15,06:58,07:03,08:14,08:30
25,05:20,05:50,06:48,12:57,01:30,04:06,04:56,05:15,06:55,07:00,08:12,08:30
26,05:22,05:52,06:50,12:57,01:30,04:05,04:54,05:15,06:53,06:58,08:10,08:30
27,05:23,05:53,06:51,12:57,01:30,04:03,04:52,05:15,06:51,06:56,08:08,08:30
28,05:26,05:56,06:53,12:56,01:15,04:01,04:50,05:15,06:48,06:53,08:05,08:30
29,05:28,05:58,06:55,12:56,01:30,04:00,04:48,05:15,06:46,06:51,08:03,08:30
30,05:29,05:59,06:56,12:56,01:30,03:58,04:46,05:15,06:44,06:49,08:01,08:30
