,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,05:13,05:43,06:50,11:49,01:00,02:07,02:45,03:00,04:37,04:44,06:05,07:15,
2,05:15,05:45,06:52,11:49,12:45,02:05,02:44,02:59,04:35,04:42,06:03,07:15,
3,05:17,05:47,06:54,11:49,12:45,02:04,02:42,02:57,04:34,04:41,06:03,07:15,
4,05:18,05:48,06:56,11:49,12:45,02:03,02:40,02:55,04:32,04:39,06:01,07:15,
5,05:19,05:49,06:57,11:49,12:45,02:01,02:39,02:54,04:30,04:37,06:00,07:15,
6,05:21,05:51,06:59,11:49,12:45,02:00,02:37,02:52,04:28,04:35,05:58,07:15,
7,05:22,05:52,07:01,11:49,12:45,01:59,02:36,02:51,04:27,04:34,05:58,07:15,
8,05:24,05:54,07:03,11:49,01:00,01:57,02:34,02:49,04:25,04:32,05:56,07:15,
9,05:25,05:55,07:04,11:49,12:45,01:56,02:33,02:48,04:24,04:31,05:56,07:15,
10,05:26,05:56,07:06,11:49,12:45,01:55,02:31,02:46,04:22,04:29,05:54,07:15,
11,05:28,05:58,07:08,11:49,12:45,01:54,02:30,02:45,04:20,04:27,05:52,07:15,
12,05:30,06:00,07:10,11:50,12:45,01:53,02:28,02:43,04:19,04:26,05:51,07:15,
13,05:30,06:00,07:11,11:50,12:45,01:51,02:27,02:42,04:17,04:24,05:50,07:15,
14,05:32,06:02,07:13,11:50,12:45,01:50,02:26,02:41,04:16,04:23,05:49,07:15,
15,05:34,06:04,07:15,11:50,01:00,01:49,02:24,02:39,04:15,04:22,05:48,07:15,
16,05:35,06:05,07:17,11:50,12:45,01:48,02:23,02:38,04:13,04:20,05:46,07:15,
17,05:36,06:06,07:18,11:50,12:45,01:47,02:22,02:37,04:12,04:19,05:46,07:15,
18,05:38,06:08,07:20,11:51,12:45,01:46,02:21,02:36,04:11,04:18,05:45,07:15,
19,05:40,06:10,07:22,11:51,12:45,01:45,02:19,02:34,04:09,04:16,05:43,07:15,
20,05:41,06:11,07:23,11:51,12:45,01:45,02:18,02:33,04:08,04:15,05:42,07:15,
21,05:43,06:13,07:25,11:51,12:45,01:44,02:17,02:32,04:07,04:14,05:42,07:15,
22,05:45,06:15,07:27,11:52,01:00,01:43,02:16,02:31,04:06,04:13,05:41,07:15,
23,05:46,06:16,07:28,11:52,12:45,01:42,02:15,02:30,04:05,04:12,05:40,07:15,
24,05:48,06:18,07:30,11:52,12:45,01:41,02:14,02:29,04:04,04:11,05:39,07:15,
25,05:49,06:19,07:31,11:52,12:45,01:41,02:13,02:28,04:03,04:10,05:39,07:15,
26,05:51,06:21,07:33,11:53,12:45,01:40,02:13,02:28,04:02,04:09,05:38,07:15,
27,05:52,06:22,07:34,11:53,12:45,01:39,02:12,02:27,04:01,04:08,05:37,07:15,
28,05:54,06:24,07:36,11:53,12:45,01:39,02:11,02:26,04:00,04:07,05:36,07:15,
29,05:55,06:25,07:37,11:54,01:00,01:38,02:10,02:25,04:00,04:07,05:36,07:15,
30,05:57,06:27,07:39,11:54,12:45,01:38,02:10,02:25,03:59,04:06,05:36,07:15,
