,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,04:37,05:07,06:09,01:06,01:30,04:44,05:41,05:56,07:51,07:58,09:02,09:15,
2,04:39,05:09,06:11,01:05,01:30,04:43,05:39,05:54,07:48,07:55,08:59,09:15,
3,04:41,05:11,06:13,01:05,01:30,04:41,05:38,05:53,07:46,07:53,08:57,09:15,
4,04:42,05:12,06:14,01:05,01:30,04:40,05:36,05:51,07:44,07:51,08:56,09:15,
5,04:44,05:14,06:16,01:04,01:30,04:38,05:34,05:49,07:42,07:49,08:54,09:15,
6,04:45,05:15,06:17,01:04,01:45,04:37,05:32,05:47,07:39,07:46,08:51,09:15,
7,04:47,05:17,06:19,01:04,01:30,04:35,05:30,05:45,07:37,07:44,08:50,09:15,
8,04:49,05:19,06:21,01:03,01:30,04:34,05:29,05:44,07:35,07:42,08:48,09:15,
9,04:50,05:20,06:22,01:03,01:30,04:32,05:27,05:42,07:33,07:40,08:46,09:00,
10,04:52,05:22,06:24,01:03,01:30,04:31,05:25,05:40,07:30,07:37,08:43,09:00,
11,04:53,05:23,06:25,01:02,01:30,04:29,05:23,05:38,07:28,07:35,08:42,09:00,
12,04:55,05:25,06:27,01:02,01:30,04:28,05:21,05:36,07:26,07:33,08:40,09:00,
13,04:57,05:27,06:29,01:02,01:45,04:26,05:19,05:34,07:23,07:30,08:37,09:00,
14,04:58,05:28,06:30,01:01,01:30,04:25,05:17,05:32,07:21,07:28,08:35,09:00,
15,05:00,05:30,06:32,01:01,01:30,04:23,05:16,05:31,07:19,07:26,08:34,09:00,
16,05:02,05:32,06:33,01:00,01:30,04:22,05:14,05:29,07:17,07:24,08:32,09:00,
17,05:04,05:34,06:35,01:00,01:30,04:20,05:12,05:27,07:14,07:21,08:29,08:45,
18,05:06,05:36,06:37,01:00,01:30,04:18,05:10,05:25,07:12,07:19,08:27,08:45,
19,05:08,05:38,06:38,12:59,01:30,04:17,05:08,05:23,07:10,07:17,08:25,08:45,
20,05:10,05:40,06:40,12:59,01:45,04:15,05:06,05:21,07:07,07:14,08:22,08:45,
21,05:11,05:41,06:41,12:59,01:30,04:13,05:04,05:19,07:05,07:12,08:21,08:45,
22,05:14,05:44,06:43,12:58,01:30,04:12,05:02,05:17,07:03,07:10,08:19,08:45,
23,05:16,05:46,06:45,12:58,01:30,04:10,05:00,05:15,07:00,07:07,08:16,08:45,
24,05:17,05:47,06:46,12:58,01:30,04:09,04:58,05:13,06:58,07:05,08:14,08:30,
25,05:20,05:50,06:48,12:57,01:30,04:07,04:56,05:11,06:56,07:03,08:13,08:30,
26,05:21,05:51,06:49,12:57,01:30,04:05,04:54,05:09,06:53,07:00,08:10,08:30,
27,05:23,05:53,06:51,12:57,01:45,04:03,04:52,05:07,06:51,06:58,08:08,08:30,
28,05:26,05:56,06:53,12:56,01:30,04:02,04:50,05:05,06:49,06:56,08:06,08:30,
29,05:27,05:57,06:54,12:56,01:30,04:00,04:48,05:03,06:47,06:54,08:04,08:30,
30,05:29,05:59,06:56,12:56,01:30,03:58,04:46,05:01,06:44,06:51,08:01,08:30,
