,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,05:00,05:30,06:32,01:09,01:30,04:38,05:32,05:45,07:38,07:45,08:55,09:15,
2,04:58,05:28,06:30,01:09,01:30,04:39,05:33,05:45,07:39,07:46,08:56,09:15,
3,04:56,05:26,06:28,01:09,01:45,04:40,05:34,05:45,07:41,07:48,08:57,09:15,
4,04:53,05:23,06:25,01:08,01:30,04:41,05:36,06:00,07:43,07:50,08:59,09:30,
5,04:51,05:21,06:23,01:08,01:30,04:41,05:37,06:00,07:44,07:51,09:00,09:30,
6,04:49,05:19,06:21,01:08,01:30,04:42,05:38,06:00,07:46,07:53,09:02,09:30,
7,04:47,05:17,06:19,01:08,01:30,04:43,05:39,06:00,07:48,07:55,09:04,09:30,
8,04:44,05:14,06:16,01:07,01:30,04:44,05:40,06:00,07:49,07:56,09:05,09:30,
9,04:42,05:12,06:14,01:07,01:30,04:45,05:41,06:00,07:51,07:58,09:06,09:30,
10,04:40,05:10,06:12,01:07,01:45,04:46,05:43,06:00,07:53,08:00,09:08,09:30,
11,04:38,05:08,06:10,01:06,01:30,04:46,05:44,06:00,07:54,08:01,09:09,09:30,
12,04:36,05:06,06:08,01:06,01:30,04:47,05:45,06:00,07:56,08:03,09:11,09:30,
13,04:33,05:03,06:05,01:06,01:30,04:48,05:46,06:00,07:58,08:05,09:13,09:30,
14,04:31,05:01,06:03,01:06,01:30,04:49,05:47,06:00,07:59,08:06,09:14,09:30,
15,04:29,04:59,06:01,01:05,01:30,04:49,05:48,06:15,08:01,08:08,09:16,09:45,
16,04:27,04:57,05:59,01:05,01:30,04:50,05:49,06:15,08:03,08:10,09:18,09:45,
17,04:25,04:55,05:57,01:05,01:45,04:51,05:51,06:15,08:04,08:11,09:18,09:45,
18,04:22,04:52,05:55,01:05,01:30,04:52,05:52,06:15,08:06,08:13,09:20,09:45,
19,04:20,04:50,05:53,01:05,01:30,04:52,05:53,06:15,08:08,08:15,09:22,09:45,
20,04:18,04:48,05:51,01:04,01:30,04:53,05:54,06:15,08:09,08:16,09:23,09:45,
21,04:14,04:44,05:48,01:04,01:30,04:54,05:55,06:15,08:11,08:18,09:25,09:45,
22,04:12,04:42,05:46,01:04,01:30,04:55,05:56,06:15,08:13,08:20,09:27,09:45,
23,04:10,04:40,05:44,01:04,01:30,04:55,05:57,06:15,08:14,08:21,09:27,10:00,
24,04:07,04:22,05:42,01:04,01:45,04:56,05:58,06:15,08:16,08:31,09:29,10:00,
25,04:05,04:20,05:40,01:03,01:30,04:57,05:59,06:15,08:18,08:33,09:31,10:00,
26,04:03,04:18,05:38,01:03,01:30,04:58,06:00,06:15,08:19,08:34,09:31,10:00,
27,04:00,04:15,05:36,01:03,01:30,04:58,06:01,06:15,08:21,08:36,09:33,10:00,
28,03:58,04:13,05:34,01:03,01:30,04:59,06:02,06:15,08:23,08:38,09:35,10:00,
29,03:57,04:12,05:33,01:03,01:30,05:00,06:03,06:15,08:24,08:39,09:35,10:00,
30,03:54,04:09,05:31,01:03,01:30,05:00,06:04,06:15,08:26,08:41,09:37,10:00,
