,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,05:59,06:29,07:41,11:55,12:45,01:37,02:09,02:30,03:58,04:05,05:35,07:30,
2,06:01,06:31,07:43,11:55,12:45,01:37,02:08,02:30,03:57,04:04,05:34,07:30,
3,06:02,06:32,07:44,11:55,12:45,01:36,02:08,02:30,03:57,04:04,05:34,07:30,
4,06:03,06:33,07:45,11:56,01:00,01:36,02:07,02:30,03:56,04:03,05:33,07:30,
5,06:05,06:35,07:47,11:56,12:45,01:36,02:07,02:30,03:56,04:03,05:33,07:30,
6,06:06,06:36,07:48,11:57,12:45,01:36,02:06,02:30,03:55,04:02,05:32,07:30,
7,06:07,06:37,07:49,11:57,12:45,01:36,02:06,02:30,03:55,04:02,05:32,07:30,
8,06:08,06:38,07:50,11:58,12:45,01:35,02:06,02:30,03:55,04:02,05:32,07:30,
9,06:09,06:39,07:51,11:58,12:45,01:35,02:06,02:30,03:55,04:02,05:32,07:30,
10,06:10,06:40,07:52,11:58,12:45,01:35,02:06,02:30,03:54,04:01,05:31,07:30,
11,06:11,06:41,07:53,11:59,01:00,01:35,02:06,02:30,03:54,04:01,05:31,07:30,
12,06:12,06:42,07:54,11:59,12:45,01:36,02:06,02:30,03:54,04:01,05:31,07:30,
13,06:13,06:43,07:55,12:00,12:45,01:36,02:06,02:30,03:54,04:01,05:31,07:30,
14,06:14,06:44,07:56,12:00,12:45,01:36,02:06,02:30,03:54,04:01,05:31,07:30,
15,06:15,06:45,07:57,12:01,12:45,01:36,02:06,02:30,03:55,04:02,05:32,07:30,
16,06:17,06:47,07:58,12:01,12:45,01:36,02:06,02:30,03:55,04:02,05:32,07:30,
17,06:18,06:48,07:59,12:02,12:45,01:37,02:07,02:30,03:55,04:02,05:32,07:30,
18,06:18,06:48,07:59,12:02,01:00,01:37,02:07,02:30,03:55,04:02,05:32,07:30,
19,06:19,06:49,08:00,12:03,12:45,01:37,02:07,02:30,03:56,04:03,05:33,07:30,
20,06:20,06:50,08:00,12:03,12:45,01:38,02:08,02:30,03:56,04:03,05:33,07:30,
21,06:21,06:51,08:01,12:04,12:45,01:38,02:08,02:30,03:57,04:04,05:34,07:30,
22,06:21,06:51,08:01,12:04,12:45,01:39,02:09,02:30,03:57,04:04,05:34,07:30,
23,06:22,06:52,08:02,12:05,12:45,01:39,02:09,02:30,03:58,04:05,05:35,07:30,
24,06:22,06:52,08:02,12:05,12:45,01:40,02:10,02:30,03:58,04:05,05:35,07:30,
25,06:23,06:53,08:03,12:06,01:00,01:41,02:11,02:30,03:59,04:06,05:36,07:30,
26,06:25,06:55,08:03,12:06,12:45,01:41,02:11,02:30,04:00,04:07,05:37,07:30,
27,06:25,06:55,08:03,12:07,12:45,01:42,02:12,02:30,04:01,04:08,05:38,07:30,
28,06:25,06:55,08:03,12:07,12:45,01:43,02:13,02:30,04:02,04:09,05:39,07:30,
29,06:26,06:56,08:03,12:08,12:45,01:44,02:14,02:30,04:02,04:09,05:39,07:30,
30,06:26,06:56,08:03,12:08,12:45,01:45,02:15,02:30,04:03,04:10,05:40,07:30,
31,06:26,06:56,08:03,12:09,12:45,01:45,02:16,02:30,04:04,04:11,05:41,07:30,
