,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,06:00,06:30,07:37,12:19,12:45,02:25,03:01,03:30,04:52,04:59,06:28,07:30,
2,05:58,06:28,07:35,12:19,12:45,02:26,03:03,03:30,04:54,05:01,06:29,07:30,
3,05:57,06:27,07:34,12:19,12:45,02:28,03:04,03:30,04:56,05:03,06:30,07:30,
4,05:55,06:25,07:32,12:19,12:45,02:29,03:06,03:30,04:57,05:04,06:31,07:30,
5,05:53,06:23,07:30,12:19,12:45,02:31,03:08,03:30,04:59,05:06,06:32,07:30,
6,05:52,06:22,07:29,12:20,12:45,02:32,03:10,03:30,05:01,05:08,06:34,07:30,
7,05:50,06:20,07:27,12:20,01:00,02:34,03:11,03:30,05:03,05:10,06:35,07:30,
8,05:48,06:18,07:25,12:20,12:45,02:35,03:13,03:30,05:05,05:12,06:37,07:30,
9,05:47,06:17,07:24,12:20,12:45,02:36,03:15,03:30,05:07,05:14,06:38,07:30,
10,05:45,06:15,07:22,12:20,12:45,02:38,03:16,03:45,05:08,05:15,06:39,07:30,
11,05:43,06:13,07:20,12:20,12:45,02:39,03:18,03:45,05:10,05:17,06:41,07:30,
12,05:41,06:11,07:18,12:20,12:45,02:41,03:20,03:45,05:12,05:19,06:43,07:30,
13,05:39,06:09,07:16,12:20,12:45,02:42,03:22,03:45,05:14,05:21,06:44,07:30,
14,05:37,06:07,07:14,12:20,01:00,02:44,03:23,03:45,05:16,05:23,06:46,07:30,
15,05:35,06:05,07:12,12:20,12:45,02:45,03:25,03:45,05:18,05:25,06:48,07:30,
16,05:34,06:04,07:11,12:20,12:45,02:46,03:27,03:45,05:19,05:26,06:49,07:30,
17,05:32,06:02,07:09,12:20,12:45,02:48,03:28,03:45,05:21,05:28,06:50,07:30,
18,05:30,06:00,07:07,12:19,12:45,02:49,03:30,03:45,05:23,05:30,06:52,07:30,
19,05:28,05:58,07:05,12:19,12:45,02:51,03:32,04:00,05:25,05:32,06:54,07:30,
20,05:26,05:56,07:03,12:19,12:45,02:52,03:33,04:00,05:27,05:34,06:56,07:30,
21,05:24,05:54,07:01,12:19,01:00,02:53,03:35,04:00,05:28,05:35,06:56,07:30,
22,05:22,05:52,06:59,12:19,12:45,02:55,03:37,04:00,05:30,05:37,06:58,07:30,
23,05:20,05:50,06:57,12:19,12:45,02:56,03:38,04:00,05:32,05:39,07:00,07:30,
24,05:18,05:48,06:55,12:19,12:45,02:57,03:40,04:00,05:34,05:41,07:02,07:30,
25,05:15,05:45,06:52,12:19,12:45,02:59,03:41,04:00,05:36,05:43,07:03,07:30,
26,05:13,05:43,06:50,12:18,12:45,03:00,03:43,04:00,05:37,05:44,07:04,07:30,
27,05:11,05:41,06:48,12:18,12:45,03:01,03:45,04:00,05:39,05:46,07:06,07:30,
28,05:09,05:39,06:46,12:18,01:00,03:02,03:46,04:00,05:41,05:48,07:08,07:30,
29,05:07,05:37,06:44,12:18,12:45,03:04,03:48,04:00,05:43,05:50,07:09,07:30,
