,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,06:26,06:56,08:03,12:09,12:45,01:46,02:16,02:45,04:05,04:12,05:42,07:30,
2,06:26,06:56,08:03,12:09,12:45,01:47,02:17,02:45,04:06,04:13,05:43,07:30,
3,06:26,06:56,08:03,12:10,01:00,01:48,02:18,02:45,04:07,04:14,05:44,07:30,
4,06:26,06:56,08:03,12:10,12:45,01:49,02:19,02:45,04:08,04:15,05:45,07:30,
5,06:25,06:55,08:02,12:11,12:45,01:50,02:20,02:45,04:09,04:16,05:46,07:30,
6,06:25,06:55,08:02,12:11,12:45,01:51,02:21,02:45,04:10,04:17,05:47,07:30,
7,06:25,06:55,08:02,12:12,12:45,01:52,02:23,02:45,04:12,04:19,05:49,07:30,
8,06:24,06:54,08:01,12:12,12:45,01:53,02:24,02:45,04:13,04:20,05:50,07:30,
9,06:24,06:54,08:01,12:12,12:45,01:54,02:25,02:45,04:14,04:21,05:51,07:30,
10,06:23,06:53,08:00,12:13,01:00,01:55,02:27,02:45,04:16,04:23,05:53,07:30,
11,06:23,06:53,08:00,12:13,12:45,01:56,02:28,02:45,04:17,04:24,05:54,07:30,
12,06:22,06:52,07:59,12:14,12:45,01:58,02:29,03:00,04:19,04:26,05:56,07:30,
13,06:21,06:51,07:58,12:14,12:45,01:59,02:31,03:00,04:20,04:27,05:57,07:30,
14,06:21,06:51,07:58,12:14,12:45,02:00,02:32,03:00,04:21,04:28,05:58,07:30,
15,06:20,06:50,07:57,12:15,12:45,02:01,02:34,03:00,04:23,04:30,06:00,07:30,
16,06:19,06:49,07:56,12:15,12:45,02:03,02:35,03:00,04:25,04:32,06:02,07:30,
17,06:18,06:48,07:55,12:15,01:00,02:04,02:37,03:00,04:26,04:33,06:03,07:30,
18,06:17,06:47,07:54,12:16,12:45,02:05,02:38,03:00,04:28,04:35,06:05,07:30,
19,06:16,06:46,07:53,12:16,12:45,02:07,02:40,03:00,04:29,04:36,06:06,07:30,
20,06:15,06:45,07:52,12:16,12:45,02:08,02:41,03:00,04:31,04:38,06:08,07:30,
21,06:14,06:44,07:51,12:17,12:45,02:09,02:43,03:00,04:33,04:40,06:10,07:30,
22,06:13,06:43,07:50,12:17,12:45,02:11,02:44,03:15,04:34,04:41,06:11,07:30,
23,06:12,06:42,07:49,12:17,12:45,02:12,02:46,03:15,04:36,04:43,06:13,07:30,
24,06:11,06:41,07:48,12:17,01:00,02:13,02:48,03:15,04:38,04:45,06:15,07:30,
25,06:09,06:39,07:46,12:18,12:45,02:15,02:49,03:15,04:40,04:47,06:17,07:30,
26,06:08,06:38,07:45,12:18,12:45,02:16,02:51,03:15,04:41,04:48,06:18,07:30,
27,06:07,06:37,07:44,12:18,12:45,02:18,02:53,03:15,04:43,04:50,06:20,07:30,
28,06:05,06:35,07:42,12:18,12:45,02:19,02:54,03:15,04:45,04:52,06:22,07:30,
29,06:04,06:34,07:41,12:19,12:45,02:21,02:56,03:15,04:47,04:54,06:24,07:30,
30,06:03,06:33,07:40,12:19,12:45,02:22,02:58,03:15,04:48,04:55,06:25,07:30,
31,06:01,06:31,07:38,12:19,01:00,02:23,02:59,03:15,04:50,04:57,06:27,07:30,
