,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,02:49,03:19,04:45,01:09,01:30,05:27,06:41,07:00,09:24,09:31,10:36,10:45,
2,02:51,03:21,04:46,01:10,01:30,05:27,06:41,07:00,09:23,09:30,10:35,10:45,
3,02:51,03:21,04:46,01:10,01:45,05:27,06:41,07:00,09:23,09:30,10:35,10:45,
4,02:53,03:23,04:47,01:10,01:30,05:26,06:40,07:00,09:22,09:29,10:33,10:45,
5,02:54,03:24,04:48,01:10,01:30,05:26,06:40,07:00,09:22,09:29,10:33,10:45,
6,02:55,03:25,04:49,01:10,01:30,05:26,06:40,07:00,09:21,09:28,10:32,10:45,
7,02:57,03:27,04:50,01:11,01:30,05:26,06:40,07:00,09:21,09:28,10:31,10:45,
8,02:58,03:28,04:51,01:11,01:30,05:26,06:39,07:00,09:20,09:27,10:30,10:45,
9,03:00,03:30,04:52,01:11,01:30,05:26,06:39,07:00,09:19,09:26,10:29,10:45,
10,03:01,03:31,04:53,01:11,01:45,05:26,06:39,07:00,09:18,09:25,10:27,10:45,
11,03:02,03:32,04:54,01:11,01:30,05:26,06:38,07:00,09:18,09:25,10:27,10:45,
12,03:04,03:34,04:55,01:11,01:30,05:25,06:38,07:00,09:17,09:24,10:26,10:45,
13,03:05,03:35,04:56,01:11,01:30,05:25,06:38,07:00,09:16,09:23,10:24,10:45,
14,03:07,03:37,04:57,01:11,01:30,05:25,06:37,07:00,09:15,09:22,10:23,10:45,
15,03:08,03:38,04:58,01:12,01:30,05:25,06:37,07:00,09:14,09:21,10:22,10:45,
16,03:10,03:40,05:00,01:12,01:30,05:24,06:36,07:00,09:13,09:20,10:20,10:45,
17,03:12,03:42,05:01,01:12,01:45,05:24,06:35,07:00,09:12,09:19,10:19,10:45,
18,03:13,03:43,05:02,01:12,01:30,05:24,06:35,07:00,09:11,09:18,10:18,10:30,
19,03:15,03:45,05:03,01:12,01:30,05:23,06:34,07:00,09:09,09:16,10:15,10:30,
20,03:17,03:47,05:05,01:12,01:30,05:23,06:34,07:00,09:08,09:15,10:14,10:30,
21,03:18,03:48,05:06,01:12,01:30,05:22,06:33,07:00,09:07,09:14,10:13,10:30,
22,03:20,03:50,05:07,01:12,01:30,05:22,06:32,07:00,09:06,09:13,10:11,10:30,
23,03:22,03:52,05:09,01:12,01:30,05:22,06:31,07:00,09:04,09:11,10:09,10:30,
24,03:24,03:54,05:10,01:12,01:45,05:21,06:31,07:00,09:03,09:10,10:08,10:30,
25,03:26,03:56,05:12,01:12,01:30,05:21,06:30,07:00,09:02,09:09,10:06,10:30,
26,03:28,03:58,05:13,01:12,01:30,05:20,06:29,06:45,09:00,09:07,10:04,10:15,
27,03:29,03:59,05:14,01:12,01:30,05:19,06:28,06:45,08:59,09:06,10:03,10:15,
28,03:32,04:02,05:16,01:12,01:30,05:19,06:27,06:45,08:57,09:04,10:00,10:15,
29,03:33,04:03,05:17,01:12,01:30,05:18,06:26,06:45,08:56,09:03,09:59,10:15,
30,03:36,04:06,05:19,01:12,01:30,05:18,06:25,06:45,08:54,09:01,09:57,10:15,
31,03:37,04:07,05:20,01:12,01:45,05:17,06:24,06:45,08:52,08:59,09:55,10:15,
