,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,05:05,05:35,06:42,12:18,12:45,03:05,03:49,04:15,05:45,05:52,07:11,07:45,
2,05:03,05:33,06:40,12:18,12:45,03:06,03:51,04:15,05:46,05:53,07:12,07:45,
3,05:01,05:31,06:38,12:17,12:45,03:07,03:52,04:15,05:48,05:55,07:13,07:45,
4,04:58,05:28,06:35,12:17,12:45,03:09,03:54,04:15,05:50,05:57,07:15,07:45,
5,04:56,05:26,06:33,12:17,12:45,03:10,03:55,04:15,05:52,05:59,07:16,07:45,
6,04:54,05:24,06:31,12:17,01:00,03:11,03:57,04:15,05:53,06:00,07:17,07:45,
7,04:52,05:22,06:29,12:16,12:45,03:12,03:58,04:15,05:55,06:02,07:18,07:45,
8,04:49,05:19,06:26,12:16,12:45,03:13,04:00,04:15,05:57,06:04,07:20,07:45,
9,04:47,05:17,06:24,12:16,12:45,03:15,04:01,04:15,05:59,06:06,07:21,07:45,
10,04:45,05:15,06:22,12:16,12:45,03:16,04:03,04:15,06:00,06:07,07:22,07:45,
11,04:43,05:13,06:20,12:15,12:45,03:17,04:04,04:30,06:02,06:09,07:24,07:45,
12,04:41,05:11,06:18,12:15,12:45,03:18,04:06,04:30,06:04,06:11,07:26,07:45,
13,04:38,05:08,06:15,12:15,01:00,03:19,04:07,04:30,06:05,06:12,07:26,07:45,
14,04:36,05:06,06:13,12:15,12:45,03:20,04:08,04:30,06:07,06:14,07:28,07:45,
15,04:34,05:04,06:11,12:14,12:45,03:21,04:10,04:30,06:09,06:16,07:30,07:45,
16,04:31,05:01,06:08,12:14,12:45,03:22,04:11,04:30,06:11,06:18,07:32,07:45,
17,04:29,04:59,06:06,12:14,12:45,03:23,04:13,04:30,06:12,06:19,07:32,07:45,
18,04:27,04:57,06:04,12:13,12:45,03:24,04:14,04:30,06:14,06:21,07:34,07:45,
19,04:25,04:55,06:02,12:13,12:45,03:25,04:15,04:45,06:16,06:23,07:36,08:00,
20,04:23,04:53,05:59,12:13,01:00,03:26,04:17,04:45,06:17,06:24,07:37,08:00,
21,04:21,04:51,05:57,12:13,12:45,03:27,04:18,04:45,06:19,06:26,07:38,08:00,
22,04:20,04:50,05:55,12:12,12:45,03:28,04:19,04:45,06:21,06:28,07:40,08:00,
23,04:18,04:48,05:53,12:12,12:45,03:29,04:21,04:45,06:22,06:29,07:41,08:00,
24,04:15,04:45,05:50,12:12,12:45,03:30,04:22,04:45,06:24,06:31,07:43,08:00,
25,04:13,04:43,05:48,12:11,12:45,03:31,04:23,04:45,06:26,06:33,07:44,08:00,
26,04:12,04:42,05:46,12:11,12:45,03:32,04:24,04:45,06:27,06:34,07:45,08:00,
27,04:09,04:39,05:43,12:11,01:00,03:33,04:26,04:45,06:29,06:36,07:47,08:00,
28,04:08,04:38,05:41,12:10,12:45,03:34,04:27,04:45,06:31,06:38,07:49,08:00,
29,05:06,05:36,06:39,01:10,01:30,04:35,05:28,05:45,07:32,07:39,08:49,09:15,
30,05:04,05:34,06:37,01:10,01:30,04:36,05:29,05:45,07:34,07:41,08:51,09:15,
31,05:02,05:32,06:34,01:10,01:30,04:37,05:31,05:45,07:37,07:43,08:53,09:15,
