,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,03:51,04:06,05:29,01:03,01:45,05:01,06:05,06:30,08:28,08:43,09:39,10:00,
2,03:49,04:04,05:27,01:02,01:30,05:02,06:06,06:30,08:29,08:44,09:40,10:00,
3,03:46,04:01,05:25,01:02,01:30,05:02,06:07,06:30,08:31,08:46,09:42,10:15,
4,03:44,03:59,05:23,01:02,01:30,05:03,06:08,06:30,08:32,08:47,09:43,10:15,
5,03:41,03:56,05:21,01:02,01:30,05:04,06:09,06:30,08:34,08:49,09:45,10:15,
6,03:40,03:55,05:20,01:02,01:30,05:04,06:10,06:30,08:36,08:51,09:47,10:15,
7,03:37,03:52,05:18,01:02,01:30,05:05,06:11,06:30,08:37,08:52,09:48,10:15,
8,03:35,03:50,05:16,01:02,01:45,05:05,06:12,06:30,08:39,08:54,09:50,10:15,
9,03:33,03:48,05:15,01:02,01:30,05:06,06:13,06:30,08:40,08:55,09:51,10:15,
10,03:31,03:46,05:13,01:02,01:30,05:07,06:14,06:30,08:42,08:57,09:53,10:15,
11,03:28,03:43,05:11,01:02,01:30,05:07,06:15,06:30,08:43,08:58,09:54,10:15,
12,03:27,03:42,05:10,01:02,01:30,05:08,06:16,06:30,08:45,09:00,09:56,10:15,
13,03:24,03:39,05:08,01:02,01:30,05:08,06:17,06:30,08:47,09:02,09:57,10:30,
14,03:23,03:38,05:07,01:02,01:30,05:09,06:18,06:45,08:48,09:03,09:58,10:30,
15,03:20,03:35,05:05,01:02,01:45,05:10,06:19,06:45,08:50,09:05,10:00,10:30,
16,03:19,03:34,05:04,01:02,01:30,05:10,06:19,06:45,08:51,09:06,10:02,10:30,
17,03:16,03:31,05:02,01:02,01:30,05:11,06:20,06:45,08:53,09:08,10:04,10:30,
18,03:15,03:30,05:01,01:02,01:30,05:11,06:21,06:45,08:54,09:09,10:05,10:30,
19,03:13,03:28,05:00,01:02,01:30,05:12,06:22,06:45,08:55,09:10,10:07,10:30,
20,03:11,03:26,04:58,01:02,01:30,05:12,06:23,06:45,08:57,09:12,10:09,10:30,
21,03:09,03:24,04:57,01:02,01:30,05:13,06:24,06:45,08:58,09:13,10:10,10:30,
22,03:08,03:23,04:56,01:02,01:45,05:14,06:24,06:45,09:00,09:15,10:13,10:30,
23,03:06,03:21,04:55,01:02,01:30,05:14,06:25,06:45,09:01,09:16,10:14,10:45,
24,03:03,03:33,04:53,01:02,01:30,05:15,06:26,06:45,09:02,09:09,10:15,10:45,
25,03:01,03:31,04:52,01:03,01:30,05:15,06:27,06:45,09:04,09:11,10:18,10:45,
26,03:00,03:30,04:51,01:03,01:30,05:16,06:27,06:45,09:05,09:12,10:19,10:45,
27,02:58,03:28,04:50,01:03,01:30,05:16,06:28,06:45,09:06,09:13,10:20,10:45,
28,02:57,03:27,04:49,01:03,01:30,05:17,06:29,06:45,09:07,09:14,10:22,10:45,
29,02:55,03:25,04:48,01:03,01:45,05:17,06:30,06:45,09:08,09:15,10:23,10:45,
30,02:54,03:24,04:47,01:03,01:30,05:18,06:30,06:45,09:10,09:17,10:25,10:45,
31,02:53,03:23,04:47,01:03,01:30,05:18,06:31,06:45,09:11,09:18,10:27,10:45,
