,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,05:31,06:01,06:59,12:55,01:30,03:55,04:43,05:00,06:40,06:47,07:58,08:15,
2,05:32,06:02,07:00,12:55,01:45,03:54,04:41,05:00,06:38,06:45,07:56,08:15,
3,05:34,06:04,07:02,12:54,01:30,03:52,04:39,05:00,06:36,06:43,07:55,08:15,
4,05:36,06:06,07:04,12:54,01:30,03:50,04:37,05:00,06:34,06:41,07:53,08:15,
5,05:36,06:06,07:05,12:54,01:30,03:49,04:35,05:00,06:31,06:38,07:50,08:15,
6,05:38,06:08,07:07,12:53,01:30,03:47,04:33,05:00,06:29,06:36,07:48,08:15,
7,05:40,06:10,07:09,12:53,01:30,03:45,04:31,05:00,06:27,06:34,07:48,08:15,
8,05:40,06:10,07:10,12:53,01:30,03:44,04:29,05:00,06:25,06:32,07:46,08:15,
9,05:42,06:12,07:12,12:53,01:45,03:42,04:27,04:45,06:22,06:29,07:43,08:00,
10,05:44,06:14,07:14,12:52,01:30,03:40,04:25,04:45,06:20,06:27,07:41,08:00,
11,05:44,06:14,07:15,12:52,01:30,03:39,04:23,04:45,06:18,06:25,07:39,08:00,
12,05:46,06:16,07:17,12:52,01:30,03:37,04:21,04:45,06:16,06:23,07:37,08:00,
13,05:48,06:18,07:19,12:52,01:30,03:35,04:19,04:45,06:14,06:21,07:37,08:00,
14,05:48,06:18,07:20,12:51,01:30,03:34,04:17,04:45,06:12,06:19,07:35,08:00,
15,05:50,06:20,07:22,12:51,01:30,03:32,04:15,04:45,06:09,06:16,07:32,08:00,
16,05:52,06:22,07:24,12:51,01:45,03:30,04:13,04:45,06:07,06:14,07:30,08:00,
17,05:53,06:23,07:26,12:51,01:30,03:29,04:11,04:30,06:05,06:12,07:28,07:45,
18,05:54,06:24,07:27,12:51,01:30,03:27,04:09,04:30,06:03,06:10,07:26,07:45,
19,05:56,06:26,07:29,12:50,01:30,03:25,04:07,04:30,06:01,06:08,07:24,07:45,
20,05:58,06:28,07:31,12:50,01:30,03:24,04:05,04:30,05:59,06:06,07:22,07:45,
21,05:58,06:28,07:32,12:50,01:30,03:22,04:04,04:30,05:57,06:04,07:22,07:45,
22,06:00,06:30,07:34,12:50,01:30,03:21,04:02,04:30,05:55,06:02,07:20,07:45,
23,06:01,06:31,07:36,12:50,01:45,03:19,04:00,04:30,05:53,06:00,07:18,07:45,
24,06:03,06:33,07:38,12:50,01:30,03:17,03:58,04:30,05:51,05:58,07:16,07:45,
25,05:04,05:34,06:39,11:50,12:45,02:16,02:56,03:15,04:49,04:56,06:16,07:30,
26,05:05,05:35,06:41,11:49,12:45,02:14,02:54,03:15,04:47,04:54,06:14,07:30,
27,05:07,05:37,06:43,11:49,12:45,02:13,02:53,03:15,04:45,04:52,06:12,07:30,
28,05:09,05:39,06:45,11:49,12:45,02:11,02:51,03:15,04:43,04:50,06:10,07:30,
29,05:09,05:39,06:46,11:49,12:45,02:10,02:49,03:15,04:41,04:48,06:08,07:30,
30,05:11,05:41,06:48,11:49,01:00,02:08,02:47,03:15,04:39,04:46,06:06,07:30,
31,05:13,05:43,06:50,11:49,12:45,02:07,02:46,03:15,04:38,04:45,06:05,07:30,
