,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:01,05:21,06:33,01:09,01:30,04:38,05:32,06:00,07:37,07:44,08:54,09:30
2,04:58,05:18,06:30,01:09,01:45,04:39,05:33,06:00,07:39,07:46,08:56,09:30
3,04:56,05:16,06:28,01:09,01:30,04:39,05:34,06:00,07:40,07:47,08:56,09:30
4,04:54,05:14,06:26,01:08,01:30,04:40,05:35,06:00,07:42,07:49,08:58,09:30
5,04:52,05:12,06:24,01:08,01:30,04:41,05:36,06:00,07:44,07:51,09:00,09:30
6,04:49,05:09,06:21,01:08,01:30,04:42,05:38,06:00,07:45,07:52,09:01,09:30
7,04:47,05:07,06:19,01:08,01:30,04:43,05:39,06:00,07:47,07:54,09:03,09:30
8,04:45,05:05,06:17,01:07,01:30,04:44,05:40,06:00,07:49,07:56,09:05,09:30
9,04:43,05:03,06:15,01:07,01:45,04:45,05:41,06:00,07:50,07:57,09:05,09:30
10,04:40,05:00,06:12,01:07,01:30,04:45,05:42,06:00,07:52,07:59,09:07,09:30
11,04:38,04:58,06:10,01:07,01:30,04:46,05:43,06:00,07:54,08:01,09:09,09:30
12,04:36,04:56,06:08,01:06,01:30,04:47,05:45,06:00,07:56,08:03,09:11,09:45
13,04:34,04:54,06:06,01:06,01:30,04:48,05:46,06:15,07:57,08:12,09:12,09:45
14,04:32,04:52,06:04,01:06,01:30,04:49,05:47,06:15,07:59,08:14,09:14,09:45
15,04:30,04:50,06:02,01:06,01:30,04:49,05:48,06:15,08:01,08:16,09:16,09:45
16,04:27,04:47,05:59,01:05,01:45,04:50,05:49,06:15,08:02,08:17,09:17,09:45
17,04:25,04:45,05:57,01:05,01:30,04:51,05:50,06:15,08:04,08:19,09:18,09:45
18,04:22,04:42,05:55,01:05,01:30,04:52,05:51,06:15,08:06,08:21,09:20,09:45
19,04:20,04:40,05:53,01:05,01:30,04:52,05:52,06:15,08:07,08:22,09:21,09:45
20,04:18,04:38,05:51,01:04,01:30,04:53,05:54,06:15,08:09,08:24,09:23,09:45
21,04:15,04:35,05:49,01:04,01:30,04:54,05:55,06:15,08:11,08:26,09:25,09:45
22,04:13,04:33,05:47,01:04,01:30,04:55,05:56,06:15,08:12,08:27,09:26,10:00
23,04:11,04:31,05:45,01:04,01:45,04:55,05:57,06:30,08:14,08:29,09:27,10:00
24,04:08,04:28,05:43,01:04,01:30,04:56,05:58,06:30,08:16,08:31,09:29,10:00
25,04:06,04:26,05:41,01:03,01:30,04:57,05:59,06:30,08:17,08:32,09:30,10:00
26,04:04,04:24,05:39,01:03,01:30,04:57,06:00,06:30,08:19,08:34,09:31,10:00
27,04:01,04:21,05:37,01:03,01:30,04:58,06:01,06:30,08:21,08:36,09:33,10:00
28,03:59,04:19,05:35,01:03,01:30,04:59,06:02,06:30,08:22,08:37,09:34,10:00
29,03:57,04:17,05:33,01:03,01:30,04:59,06:03,06:30,08:24,08:39,09:35,10:00
30,03:54,04:14,05:31,01:03,01:45,05:00,06:04,06:30,08:25,08:40,09:36,10:00
