,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,03:39,04:09,05:21,01:12,01:30,05:16,06:24,06:45,08:52,08:57,09:56,10:15
2,03:41,04:11,05:23,01:12,01:30,05:16,06:23,06:45,08:50,08:55,09:54,10:15
3,03:43,04:13,05:24,01:12,01:15,05:15,06:22,06:45,08:48,08:53,09:52,10:15
4,03:45,04:15,05:26,01:12,01:30,05:14,06:21,06:45,08:47,08:52,09:51,10:15
5,03:47,04:17,05:27,01:12,01:30,05:13,06:20,06:45,08:45,08:50,09:49,10:15
6,03:49,04:19,05:29,01:11,01:30,05:13,06:18,06:45,08:43,08:48,09:48,10:15
7,03:50,04:20,05:30,01:11,01:30,05:12,06:17,06:45,08:41,08:46,09:46,10:15
8,03:53,04:23,05:32,01:11,01:30,05:11,06:16,06:30,08:40,08:45,09:45,10:00
9,03:54,04:24,05:33,01:11,01:30,05:10,06:15,06:30,08:38,08:43,09:43,10:00
10,03:56,04:26,05:35,01:11,01:15,05:09,06:14,06:30,08:36,08:41,09:41,10:00
11,03:58,04:28,05:36,01:11,01:30,05:08,06:12,06:30,08:34,08:39,09:40,10:00
12,04:00,04:30,05:38,01:11,01:30,05:07,06:11,06:30,08:32,08:37,09:38,10:00
13,04:02,04:32,05:40,01:10,01:30,05:06,06:10,06:30,08:30,08:35,09:36,10:00
14,04:04,04:34,05:41,01:10,01:30,05:05,06:08,06:30,08:28,08:33,09:34,10:00
15,04:06,04:36,05:43,01:10,01:30,05:04,06:07,06:30,08:26,08:31,09:32,10:00
16,04:07,04:37,05:44,01:10,01:30,05:03,06:06,06:30,08:24,08:29,09:31,09:45
17,04:10,04:40,05:46,01:10,01:15,05:02,06:04,06:30,08:22,08:27,09:29,09:45
18,04:12,04:42,05:48,01:09,01:30,05:01,06:03,06:30,08:20,08:25,09:27,09:45
19,04:13,04:43,05:49,01:09,01:30,05:00,06:01,06:30,08:18,08:23,09:25,09:45
20,04:16,04:46,05:51,01:09,01:30,04:59,06:00,06:30,08:16,08:21,09:23,09:45
21,04:17,04:47,05:52,01:09,01:30,04:58,05:58,06:30,08:14,08:19,09:22,09:45
22,04:19,04:49,05:54,01:08,01:30,04:56,05:57,06:30,08:12,08:17,09:20,09:45
23,04:22,04:52,05:56,01:08,01:30,04:55,05:55,06:30,08:10,08:15,09:18,09:45
24,04:23,04:53,05:57,01:08,01:15,04:54,05:54,06:15,08:08,08:13,09:16,09:30
25,04:25,04:55,05:59,01:08,01:30,04:53,05:52,06:15,08:05,08:10,09:14,09:30
26,04:27,04:57,06:00,01:07,01:30,04:52,05:51,06:15,08:03,08:08,09:12,09:30
27,04:29,04:59,06:02,01:07,01:30,04:50,05:49,06:15,08:01,08:06,09:10,09:30
28,04:30,05:00,06:03,01:07,01:30,04:49,05:47,06:15,07:59,08:04,09:08,09:30
29,04:33,05:03,06:05,01:06,01:30,04:48,05:46,06:15,07:57,08:02,09:07,09:30
30,04:35,05:05,06:07,01:06,01:30,04:46,05:44,06:15,07:55,08:00,09:05,09:30
31,04:36,05:06,06:08,01:06,01:15,04:45,05:42,06:15,07:52,07:57,09:02,09:30
