,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,03:40,04:10,05:22,01:12,01:30,05:16,06:23,06:45,08:51,08:58,09:55,10:15,
2,03:41,04:11,05:23,01:12,01:30,05:15,06:22,06:45,08:49,08:56,09:53,10:15,
3,03:44,04:14,05:25,01:12,01:30,05:15,06:21,06:45,08:47,08:54,09:51,10:15,
4,03:45,04:15,05:26,01:12,01:30,05:14,06:20,06:45,08:46,08:53,09:50,10:15,
5,03:48,04:18,05:28,01:11,01:30,05:13,06:19,06:45,08:44,08:51,09:48,10:15,
6,03:49,04:19,05:29,01:11,01:30,05:12,06:18,06:45,08:42,08:49,09:47,10:15,
7,03:51,04:21,05:31,01:11,01:45,05:11,06:17,06:45,08:40,08:47,09:45,10:15,
8,03:54,04:24,05:33,01:11,01:30,05:11,06:16,06:30,08:39,08:46,09:44,10:00,
9,03:55,04:25,05:34,01:11,01:30,05:10,06:14,06:30,08:37,08:44,09:42,10:00,
10,03:57,04:27,05:36,01:11,01:30,05:09,06:13,06:30,08:35,08:42,09:40,10:00,
11,03:59,04:29,05:37,01:11,01:30,05:08,06:12,06:30,08:33,08:40,09:39,10:00,
12,04:01,04:31,05:39,01:10,01:30,05:07,06:10,06:30,08:31,08:38,09:37,10:00,
13,04:02,04:32,05:40,01:10,01:30,05:06,06:09,06:30,08:29,08:36,09:35,10:00,
14,04:05,04:35,05:42,01:10,01:45,05:05,06:08,06:30,08:27,08:34,09:33,10:00,
15,04:07,04:37,05:44,01:10,01:30,05:04,06:06,06:30,08:25,08:32,09:31,10:00,
16,04:08,04:38,05:45,01:10,01:30,05:03,06:05,06:30,08:23,08:30,09:30,09:45,
17,04:11,04:41,05:47,01:09,01:30,05:02,06:04,06:30,08:21,08:28,09:28,09:45,
18,04:12,04:42,05:48,01:09,01:30,05:01,06:02,06:30,08:19,08:26,09:26,09:45,
19,04:14,04:44,05:50,01:09,01:30,04:59,06:01,06:30,08:17,08:24,09:24,09:45,
20,04:17,04:47,05:52,01:09,01:30,04:58,05:59,06:30,08:15,08:22,09:22,09:45,
21,04:18,04:48,05:53,01:09,01:45,04:57,05:58,06:30,08:13,08:20,09:21,09:45,
22,04:20,04:50,05:55,01:08,01:30,04:56,05:56,06:30,08:11,08:18,09:19,09:45,
23,04:22,04:52,05:56,01:08,01:30,04:55,05:55,06:30,08:09,08:16,09:17,09:45,
24,04:24,04:54,05:58,01:08,01:30,04:53,05:53,06:15,08:06,08:13,09:14,09:30,
25,04:26,04:56,06:00,01:07,01:30,04:52,05:51,06:15,08:04,08:11,09:13,09:30,
26,04:28,04:58,06:01,01:07,01:30,04:51,05:50,06:15,08:02,08:09,09:11,09:30,
27,04:30,05:00,06:03,01:07,01:30,04:50,05:48,06:15,08:00,08:07,09:09,09:30,
28,04:31,05:01,06:04,01:07,01:45,04:48,05:46,06:15,07:58,08:05,09:07,09:30,
29,04:34,05:04,06:06,01:06,01:30,04:47,05:45,06:15,07:56,08:03,09:06,09:30,
30,04:35,05:05,06:07,01:06,01:30,04:46,05:43,06:15,07:53,08:00,09:03,09:30,
31,04:37,05:07,06:09,01:06,01:30,04:44,05:41,06:15,07:51,07:58,09:01,09:30,
