,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:59,06:19,07:36,12:19,12:45,02:26,03:02,03:30,04:53,05:00,06:29,07:30
2,05:57,06:17,07:34,12:19,12:45,02:27,03:04,03:30,04:55,05:02,06:30,07:30
3,05:55,06:15,07:32,12:19,12:45,02:29,03:06,03:30,04:57,05:04,06:31,07:30
4,05:54,06:14,07:31,12:19,12:45,02:30,03:07,03:30,04:59,05:06,06:33,07:30
5,05:52,06:12,07:29,12:20,01:00,02:32,03:09,03:30,05:01,05:08,06:34,07:30
6,05:50,06:10,07:27,12:20,12:45,02:33,03:11,03:30,05:02,05:09,06:35,07:30
7,05:49,06:09,07:26,12:20,12:45,02:35,03:13,03:30,05:04,05:11,06:36,07:30
8,05:47,06:07,07:24,12:20,12:45,02:36,03:14,03:30,05:06,05:13,06:38,07:30
9,05:45,06:05,07:22,12:20,12:45,02:38,03:16,03:45,05:08,05:15,06:39,07:30
10,05:43,06:03,07:20,12:20,12:45,02:39,03:18,03:45,05:10,05:17,06:41,07:30
11,05:42,06:02,07:19,12:20,12:45,02:40,03:19,03:45,05:12,05:19,06:43,07:30
12,05:40,06:00,07:17,12:20,01:00,02:42,03:21,03:45,05:13,05:20,06:44,07:30
13,05:38,05:58,07:15,12:20,12:45,02:43,03:23,03:45,05:15,05:22,06:45,07:30
14,05:36,05:56,07:13,12:20,12:45,02:45,03:25,03:45,05:17,05:24,06:47,07:30
15,05:34,05:54,07:11,12:20,12:45,02:46,03:26,03:45,05:19,05:26,06:49,07:30
16,05:32,05:52,07:09,12:20,12:45,02:47,03:28,03:45,05:21,05:28,06:51,07:30
17,05:30,05:50,07:07,12:19,12:45,02:49,03:30,03:45,05:23,05:30,06:52,07:30
18,05:28,05:48,07:05,12:19,12:45,02:50,03:31,04:00,05:24,05:31,06:53,07:30
19,05:26,05:46,07:03,12:19,01:00,02:52,03:33,04:00,05:26,05:33,06:55,07:30
20,05:24,05:44,07:01,12:19,12:45,02:53,03:34,04:00,05:28,05:35,06:57,07:30
21,05:22,05:42,06:59,12:19,12:45,02:54,03:36,04:00,05:30,05:37,06:58,07:30
22,05:20,05:40,06:57,12:19,12:45,02:56,03:38,04:00,05:32,05:39,07:00,07:30
23,05:18,05:38,06:55,12:19,12:45,02:57,03:39,04:00,05:33,05:40,07:01,07:30
24,05:16,05:36,06:53,12:19,12:45,02:58,03:41,04:00,05:35,05:42,07:03,07:30
25,05:14,05:34,06:51,12:19,12:45,03:00,03:43,04:00,05:37,05:44,07:04,07:30
26,05:12,05:32,06:49,12:18,01:00,03:01,03:44,04:00,05:39,05:46,07:06,07:30
27,05:10,05:30,06:47,12:18,12:45,03:02,03:46,04:00,05:41,05:48,07:08,07:30
28,05:08,05:28,06:45,12:18,12:45,03:03,03:47,04:00,05:42,05:49,07:09,07:30
