,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,02:48,03:18,04:44,01:09,01:30,05:27,06:41,06:56,09:24,09:31,10:36,10:45,
2,02:50,03:20,04:45,01:10,01:30,05:27,06:41,06:56,09:24,09:31,10:36,10:45,
3,02:51,03:21,04:46,01:10,01:30,05:27,06:41,06:56,09:23,09:30,10:35,10:45,
4,02:53,03:23,04:47,01:10,01:30,05:27,06:41,06:56,09:23,09:30,10:34,10:45,
5,02:53,03:23,04:47,01:10,01:45,05:26,06:40,06:55,09:22,09:29,10:33,10:45,
6,02:54,03:24,04:48,01:10,01:30,05:26,06:40,06:55,09:22,09:29,10:33,10:45,
7,02:56,03:26,04:49,01:10,01:30,05:26,06:40,06:55,09:21,09:28,10:31,10:45,
8,02:57,03:27,04:50,01:11,01:30,05:26,06:40,06:55,09:21,09:28,10:31,10:45,
9,02:59,03:29,04:51,01:11,01:30,05:26,06:39,06:54,09:20,09:27,10:30,10:45,
10,03:00,03:30,04:52,01:11,01:30,05:26,06:39,06:54,09:19,09:26,10:28,10:45,
11,03:01,03:31,04:53,01:11,01:30,05:26,06:39,06:54,09:18,09:25,10:27,10:45,
12,03:03,03:33,04:54,01:11,01:45,05:26,06:38,06:53,09:17,09:24,10:26,10:45,
13,03:04,03:34,04:55,01:11,01:30,05:25,06:38,06:53,09:17,09:24,10:25,10:45,
14,03:06,03:36,04:56,01:11,01:30,05:25,06:37,06:52,09:16,09:23,10:24,10:45,
15,03:08,03:38,04:58,01:11,01:30,05:25,06:37,06:52,09:15,09:22,10:23,10:45,
16,03:09,03:39,04:59,01:12,01:30,05:25,06:36,06:51,09:14,09:21,10:21,10:45,
17,03:11,03:41,05:00,01:12,01:30,05:24,06:36,06:51,09:13,09:20,10:20,10:30,
18,03:12,03:42,05:01,01:12,01:30,05:24,06:35,06:50,09:12,09:19,10:19,10:30,
19,03:14,03:44,05:02,01:12,01:45,05:24,06:35,06:50,09:10,09:17,10:16,10:30,
20,03:16,03:46,05:04,01:12,01:30,05:23,06:34,06:49,09:09,09:16,10:15,10:30,
21,03:17,03:47,05:05,01:12,01:30,05:23,06:33,06:48,09:08,09:15,10:14,10:30,
22,03:19,03:49,05:06,01:12,01:30,05:22,06:33,06:48,09:07,09:14,10:12,10:30,
23,03:21,03:51,05:08,01:12,01:30,05:22,06:32,06:47,09:05,09:12,10:10,10:30,
24,03:23,03:53,05:09,01:12,01:30,05:21,06:31,06:46,09:04,09:11,10:09,10:30,
25,03:24,03:54,05:10,01:12,01:30,05:21,06:30,06:45,09:03,09:10,10:07,10:15,
26,03:27,03:57,05:12,01:12,01:45,05:20,06:30,06:45,09:01,09:08,10:05,10:15,
27,03:28,03:58,05:13,01:12,01:30,05:20,06:29,06:44,09:00,09:07,10:04,10:15,
28,03:31,04:01,05:15,01:12,01:30,05:19,06:28,06:43,08:58,09:05,10:01,10:15,
29,03:32,04:02,05:16,01:12,01:30,05:19,06:27,06:42,08:57,09:04,10:00,10:15,
30,03:35,04:05,05:18,01:12,01:30,05:18,06:26,06:41,08:55,09:02,09:58,10:15,
31,03:36,04:06,05:19,01:12,01:30,05:17,06:25,06:40,08:54,09:01,09:57,10:15,
