,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,02:52,03:07,04:46,01:03,01:30,05:18,06:31,06:46,09:11,09:26,10:27,10:45,
2,02:51,03:06,04:46,01:03,01:30,05:19,06:32,06:47,09:12,09:27,10:29,10:45,
3,02:50,03:05,04:45,01:04,01:30,05:19,06:32,06:47,09:13,09:28,10:30,10:45,
4,02:48,03:18,04:44,01:04,01:30,05:20,06:33,06:48,09:14,09:21,10:31,10:45,
5,02:48,03:18,04:44,01:04,01:30,05:20,06:34,06:49,09:15,09:22,10:33,10:45,
6,02:46,03:16,04:43,01:04,01:30,05:20,06:34,06:49,09:16,09:23,10:34,10:45,
7,02:45,03:15,04:42,01:04,01:45,05:21,06:35,06:50,09:17,09:24,10:35,10:45,
8,02:44,03:14,04:42,01:05,01:30,05:21,06:35,06:50,09:18,09:25,10:36,10:50,
9,02:43,03:13,04:41,01:05,01:30,05:22,06:36,06:51,09:18,09:25,10:37,10:50,
10,02:42,03:12,04:41,01:05,01:30,05:22,06:36,06:51,09:19,09:26,10:38,10:50,
11,02:42,03:12,04:41,01:05,01:30,05:22,06:37,06:52,09:20,09:27,10:40,10:50,
12,02:40,03:10,04:40,01:05,01:30,05:23,06:37,06:52,09:21,09:28,10:41,10:50,
13,02:39,03:09,04:40,01:06,01:30,05:23,06:38,06:53,09:21,09:28,10:42,10:50,
14,02:39,03:09,04:40,01:06,01:45,05:23,06:38,06:53,09:22,09:29,10:43,10:50,
15,02:39,03:09,04:40,01:06,01:30,05:24,06:38,06:53,09:22,09:29,10:43,10:50,
16,02:39,03:09,04:40,01:06,01:30,05:24,06:39,06:54,09:23,09:30,10:43,10:50,
17,02:39,03:09,04:40,01:06,01:30,05:24,06:39,06:54,09:23,09:30,10:43,10:50,
18,02:39,03:09,04:40,01:07,01:30,05:25,06:39,06:54,09:24,09:31,10:43,10:50,
19,02:39,03:09,04:40,01:07,01:30,05:25,06:40,06:55,09:24,09:31,10:43,10:50,
20,02:40,03:10,04:40,01:07,01:30,05:25,06:40,06:55,09:24,09:31,10:43,10:50,
21,02:40,03:10,04:40,01:07,01:45,05:25,06:40,06:55,09:24,09:31,10:42,10:50,
22,02:40,03:10,04:40,01:07,01:30,05:25,06:40,06:55,09:25,09:32,10:42,10:50,
23,02:42,03:12,04:41,01:08,01:30,05:26,06:40,06:55,09:25,09:32,10:42,10:50,
24,02:42,03:12,04:41,01:08,01:30,05:26,06:41,06:56,09:25,09:32,10:41,10:50,
25,02:42,03:12,04:41,01:08,01:30,05:26,06:41,06:56,09:25,09:32,10:41,10:50,
26,02:44,03:14,04:42,01:08,01:30,05:26,06:41,06:56,09:25,09:32,10:41,10:50,
27,02:44,03:14,04:42,01:09,01:30,05:26,06:41,06:56,09:25,09:32,10:40,10:50,
28,02:46,03:16,04:43,01:09,01:45,05:26,06:41,06:56,09:25,09:32,10:40,10:50,
29,02:46,03:16,04:43,01:09,01:30,05:26,06:41,06:56,09:24,09:31,10:38,10:50,
30,02:47,03:17,04:44,01:09,01:30,05:26,06:41,06:56,09:24,09:31,10:37,10:50,
