,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,02:52,03:12,04:46,01:03,01:30,05:18,06:31,06:45,09:11,09:18,10:27,10:45
2,02:50,03:10,04:45,01:04,01:30,05:19,06:32,06:45,09:13,09:20,10:30,10:45
3,02:49,03:09,04:44,01:04,01:30,05:19,06:33,06:45,09:14,09:21,10:31,10:45
4,02:48,03:08,04:44,01:04,01:45,05:20,06:33,06:45,09:15,09:22,10:32,10:45
5,02:47,03:07,04:43,01:04,01:30,05:20,06:34,06:45,09:15,09:22,10:33,10:45
6,02:46,03:06,04:43,01:04,01:30,05:21,06:34,06:45,09:16,09:23,10:34,10:45
7,02:45,03:05,04:42,01:04,01:30,05:21,06:35,06:45,09:17,09:24,10:35,10:55
8,02:44,03:04,04:42,01:05,01:30,05:21,06:35,06:45,09:18,09:25,10:36,10:55
9,02:43,03:03,04:41,01:05,01:30,05:22,06:36,07:00,09:19,09:26,10:38,10:55
10,02:42,03:02,04:41,01:05,01:30,05:22,06:36,07:00,09:20,09:27,10:39,10:55
11,02:42,03:02,04:41,01:05,01:45,05:23,06:37,07:00,09:20,09:27,10:40,10:55
12,02:40,03:00,04:40,01:05,01:30,05:23,06:37,07:00,09:21,09:28,10:41,10:55
13,02:39,02:59,04:40,01:06,01:30,05:23,06:38,07:00,09:22,09:29,10:43,10:55
14,02:39,02:59,04:40,01:06,01:30,05:24,06:38,07:00,09:22,09:29,10:43,10:55
15,02:39,02:59,04:40,01:06,01:30,05:24,06:39,07:00,09:23,09:30,10:44,10:55
16,02:39,02:59,04:40,01:06,01:30,05:24,06:39,07:00,09:23,09:30,10:43,10:55
17,02:39,02:59,04:40,01:07,01:30,05:24,06:39,07:00,09:23,09:30,10:43,10:55
18,02:39,02:59,04:40,01:07,01:45,05:25,06:39,07:00,09:24,09:31,10:43,10:55
19,02:39,02:59,04:40,01:07,01:30,05:25,06:40,07:00,09:24,09:31,10:43,10:55
20,02:40,03:00,04:40,01:07,01:30,05:25,06:40,07:00,09:24,09:31,10:43,10:55
21,02:40,03:00,04:40,01:07,01:30,05:25,06:40,07:00,09:25,09:32,10:43,10:55
22,02:40,03:00,04:40,01:08,01:30,05:26,06:40,07:00,09:25,09:32,10:42,10:55
23,02:42,03:02,04:41,01:08,01:30,05:26,06:41,07:00,09:25,09:32,10:42,10:55
24,02:42,03:02,04:41,01:08,01:30,05:26,06:41,07:00,09:25,09:32,10:41,10:55
25,02:42,03:02,04:41,01:08,01:45,05:26,06:41,07:00,09:25,09:32,10:41,10:55
26,02:44,03:04,04:42,01:08,01:30,05:26,06:41,07:00,09:25,09:32,10:41,10:55
27,02:44,03:04,04:42,01:09,01:30,05:26,06:41,07:00,09:25,09:32,10:40,10:55
28,02:46,03:06,04:43,01:09,01:30,05:26,06:41,07:00,09:25,09:32,10:40,10:55
29,02:46,03:06,04:43,01:09,01:30,05:26,06:41,07:00,09:24,09:31,10:38,10:55
30,02:47,03:07,04:44,01:09,01:30,05:26,06:41,07:00,09:24,09:31,10:37,10:55
