,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,03:52,04:22,05:30,01:03,01:30,05:01,06:05,06:30,08:27,08:32,09:38,10:00
2,03:50,04:20,05:28,01:02,01:30,05:01,06:06,06:30,08:28,08:33,09:39,10:00
3,03:47,04:17,05:26,01:02,01:30,05:02,06:07,06:30,08:30,08:35,09:41,10:00
4,03:45,04:15,05:24,01:02,01:15,05:03,06:08,06:30,08:31,08:36,09:42,10:00
5,03:42,04:12,05:22,01:02,01:30,05:03,06:09,06:30,08:33,08:38,09:44,10:00
6,03:41,04:11,05:21,01:02,01:30,05:04,06:10,06:30,08:35,08:40,09:46,10:00
7,03:38,04:08,05:19,01:02,01:30,05:04,06:11,06:30,08:36,08:41,09:47,10:00
8,03:36,04:06,05:17,01:02,01:30,05:05,06:12,06:45,08:38,08:43,09:49,10:15
9,03:33,04:03,05:15,01:02,01:30,05:06,06:13,06:45,08:39,08:44,09:50,10:15
10,03:32,04:02,05:14,01:02,01:30,05:06,06:13,06:45,08:41,08:46,09:52,10:15
11,03:29,03:59,05:12,01:02,01:15,05:07,06:14,06:45,08:43,08:48,09:54,10:15
12,03:28,03:58,05:11,01:02,01:30,05:08,06:15,06:45,08:44,08:49,09:55,10:15
13,03:25,03:55,05:09,01:02,01:30,05:08,06:16,06:45,08:46,08:51,09:56,10:15
14,03:23,03:53,05:07,01:02,01:30,05:09,06:17,06:45,08:47,08:52,09:57,10:15
15,03:21,03:51,05:06,01:02,01:30,05:09,06:18,06:45,08:49,08:54,09:59,10:45
16,03:19,03:34,05:04,01:02,01:30,05:10,06:19,06:45,08:50,09:05,10:01,10:45
17,03:17,03:32,05:03,01:02,01:30,05:10,06:20,06:45,08:52,09:07,10:03,10:45
18,03:16,03:31,05:02,01:02,01:15,05:11,06:21,06:45,08:53,09:08,10:04,10:45
19,03:13,03:28,05:00,01:02,01:30,05:12,06:21,06:45,08:55,09:10,10:07,10:45
20,03:12,03:27,04:59,01:02,01:30,05:12,06:22,06:45,08:56,09:11,10:08,10:45
21,03:10,03:25,04:58,01:02,01:30,05:13,06:23,06:45,08:57,09:12,10:09,10:45
22,03:08,03:23,04:56,01:02,01:30,05:13,06:24,06:45,08:59,09:14,10:12,10:45
23,03:06,03:21,04:55,01:02,01:30,05:14,06:25,06:45,09:00,09:15,10:13,10:45
24,03:04,03:19,04:54,01:02,01:30,05:14,06:26,06:45,09:02,09:17,10:15,10:45
25,03:02,03:17,04:53,01:02,01:15,05:15,06:26,06:45,09:03,09:18,10:17,11:00
26,03:01,03:16,04:52,01:03,01:30,05:15,06:27,06:45,09:04,09:19,10:18,11:00
27,02:59,03:14,04:51,01:03,01:30,05:16,06:28,06:45,09:05,09:20,10:19,11:00
28,02:58,03:13,04:50,01:03,01:30,05:16,06:29,06:45,09:07,09:22,10:22,11:00
29,02:56,03:11,04:49,01:03,01:30,05:17,06:29,06:45,09:08,09:23,10:23,11:00
30,02:55,03:10,04:48,01:03,01:30,05:17,06:30,06:45,09:09,09:24,10:24,11:00
31,02:53,03:08,04:47,01:03,01:30,05:18,06:31,06:45,09:10,09:25,10:26,11:00
