,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,03:52,04:22,05:30,01:03,01:30,05:00,06:05,06:20,08:26,08:33,09:37,10:00,
2,03:50,04:20,05:28,01:03,01:30,05:01,06:06,06:21,08:28,08:35,09:39,10:00,
3,03:47,04:17,05:26,01:02,01:45,05:02,06:07,06:22,08:30,08:37,09:41,10:00,
4,03:46,04:16,05:25,01:02,01:30,05:02,06:08,06:23,08:31,08:38,09:42,10:00,
5,03:43,04:13,05:23,01:02,01:30,05:03,06:09,06:24,08:33,08:40,09:44,10:15,
6,03:41,03:56,05:21,01:02,01:30,05:04,06:09,06:24,08:34,08:49,09:45,10:15,
7,03:38,03:53,05:19,01:02,01:30,05:04,06:10,06:25,08:36,08:51,09:47,10:15,
8,03:37,03:52,05:18,01:02,01:30,05:05,06:11,06:26,08:38,08:53,09:49,10:15,
9,03:34,03:49,05:16,01:02,01:30,05:06,06:12,06:27,08:39,08:54,09:50,10:15,
10,03:32,03:47,05:14,01:02,01:45,05:06,06:13,06:28,08:41,08:56,09:52,10:15,
11,03:30,03:45,05:13,01:02,01:30,05:07,06:14,06:29,08:42,08:57,09:53,10:15,
12,03:28,03:43,05:11,01:02,01:30,05:07,06:15,06:30,08:44,08:59,09:55,10:15,
13,03:25,03:40,05:09,01:02,01:30,05:08,06:16,06:31,08:45,09:00,09:55,10:15,
14,03:24,03:39,05:08,01:02,01:30,05:09,06:17,06:32,08:47,09:02,09:57,10:15,
15,03:21,03:36,05:06,01:02,01:30,05:09,06:18,06:33,08:48,09:03,09:58,10:30,
16,03:20,03:35,05:05,01:02,01:30,05:10,06:19,06:34,08:50,09:05,10:01,10:30,
17,03:17,03:32,05:03,01:02,01:45,05:10,06:20,06:35,08:51,09:06,10:02,10:30,
18,03:16,03:31,05:02,01:02,01:30,05:11,06:20,06:35,08:53,09:08,10:04,10:30,
19,03:14,03:29,05:01,01:02,01:30,05:12,06:21,06:36,08:54,09:09,10:06,10:30,
20,03:12,03:27,04:59,01:02,01:30,05:12,06:22,06:37,08:56,09:11,10:08,10:30,
21,03:10,03:25,04:58,01:02,01:30,05:13,06:23,06:38,08:57,09:12,10:09,10:30,
22,03:09,03:24,04:57,01:02,01:30,05:13,06:24,06:39,08:59,09:14,10:12,10:30,
23,03:06,03:21,04:55,01:02,01:30,05:14,06:25,06:40,09:00,09:15,10:13,10:30,
24,03:04,03:19,04:54,01:02,01:45,05:14,06:25,06:40,09:01,09:16,10:14,10:30,
25,03:02,03:17,04:53,01:02,01:30,05:15,06:26,06:41,09:03,09:18,10:17,10:45,
26,03:01,03:16,04:52,01:03,01:30,05:15,06:27,06:42,09:04,09:19,10:18,10:45,
27,02:59,03:14,04:51,01:03,01:30,05:16,06:28,06:43,09:05,09:20,10:19,10:45,
28,02:58,03:13,04:50,01:03,01:30,05:16,06:28,06:43,09:06,09:21,10:21,10:45,
29,02:56,03:11,04:49,01:03,01:30,05:17,06:29,06:44,09:07,09:22,10:22,10:45,
30,02:55,03:10,04:48,01:03,01:30,05:17,06:30,06:45,09:09,09:24,10:24,10:45,
31,02:53,03:08,04:47,01:03,01:45,05:18,06:30,06:45,09:10,09:25,10:26,10:45,
