,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:14,05:44,06:51,11:49,12:45,02:06,02:45,03:00,04:37,04:42,06:05,07:15
2,05:16,05:46,06:53,11:49,12:25,02:05,02:43,03:00,04:35,04:40,06:03,07:15
3,05:17,05:47,06:54,11:49,12:45,02:04,02:41,03:00,04:33,04:38,06:02,07:15
4,05:18,05:48,06:56,11:49,12:45,02:02,02:40,03:00,04:31,04:36,06:00,07:15
5,05:20,05:50,06:58,11:49,12:45,02:01,02:38,03:00,04:30,04:35,06:00,07:15
6,05:22,05:52,07:00,11:49,12:45,02:00,02:37,03:00,04:28,04:33,05:58,07:15
7,05:22,05:52,07:01,11:49,12:45,01:58,02:35,03:00,04:26,04:31,05:57,07:15
8,05:24,05:54,07:03,11:49,12:45,01:57,02:34,03:00,04:25,04:30,05:56,07:15
9,05:26,05:56,07:05,11:49,12:25,01:56,02:32,03:00,04:23,04:28,05:55,07:15
10,05:27,05:57,07:07,11:49,12:45,01:55,02:31,03:00,04:22,04:27,05:54,07:15
11,05:28,05:58,07:08,11:50,12:45,01:53,02:29,02:45,04:20,04:25,05:52,07:15
12,05:30,06:00,07:10,11:50,12:45,01:52,02:28,02:45,04:19,04:24,05:51,07:15
13,05:31,06:01,07:12,11:50,12:45,01:51,02:27,02:45,04:17,04:22,05:50,07:15
14,05:33,06:03,07:14,11:50,12:45,01:50,02:25,02:45,04:16,04:21,05:49,07:15
15,05:34,06:04,07:15,11:50,12:45,01:49,02:24,02:45,04:14,04:19,05:47,07:15
16,05:35,06:05,07:17,11:50,12:25,01:48,02:23,02:45,04:13,04:18,05:46,07:15
17,05:37,06:07,07:19,11:50,12:45,01:47,02:21,02:45,04:12,04:17,05:46,07:15
18,05:38,06:08,07:20,11:51,12:45,01:46,02:20,02:45,04:10,04:15,05:44,07:15
19,05:40,06:10,07:22,11:51,12:45,01:45,02:19,02:45,04:09,04:14,05:43,07:15
20,05:42,06:12,07:24,11:51,12:45,01:44,02:18,02:45,04:08,04:13,05:42,07:15
21,05:43,06:13,07:25,11:51,12:45,01:43,02:17,02:30,04:07,04:12,05:42,07:15
22,05:45,06:15,07:27,11:52,12:45,01:43,02:16,02:30,04:06,04:11,05:41,07:15
23,05:47,06:17,07:29,11:52,12:25,01:42,02:15,02:30,04:05,04:10,05:40,07:15
24,05:48,06:18,07:30,11:52,12:45,01:41,02:14,02:30,04:04,04:09,05:39,07:15
25,05:50,06:20,07:32,11:52,12:45,01:41,02:13,02:30,04:03,04:08,05:39,07:15
26,05:51,06:21,07:33,11:53,12:45,01:40,02:12,02:30,04:02,04:07,05:38,07:15
27,05:53,06:23,07:35,11:53,12:45,01:39,02:12,02:30,04:01,04:06,05:37,07:15
28,05:54,06:24,07:36,11:53,12:45,01:39,02:11,02:30,04:00,04:05,05:36,07:15
29,05:56,06:26,07:38,11:54,12:45,01:38,02:10,02:30,03:59,04:04,05:35,07:15
30,05:57,06:27,07:39,11:54,12:25,01:38,02:09,02:30,03:59,04:04,05:36,07:15
