,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,05:15,05:45,06:52,11:49,12:45,02:06,02:44,03:00,04:36,04:43,06:04,07:30,
2,05:16,05:46,06:53,11:49,12:45,02:04,02:42,03:00,04:34,04:41,06:02,07:30,
3,05:18,05:48,06:55,11:49,12:45,02:03,02:41,03:00,04:32,04:39,06:01,07:30,
4,05:19,05:49,06:57,11:49,12:45,02:02,02:39,03:00,04:30,04:37,05:59,07:30,
5,05:21,05:51,06:59,11:49,12:45,02:00,02:37,03:00,04:29,04:36,05:59,07:30,
6,05:22,05:52,07:00,11:49,01:00,01:59,02:36,03:00,04:27,04:34,05:57,07:30,
7,05:23,05:53,07:02,11:49,12:45,01:58,02:34,03:00,04:25,04:32,05:56,07:30,
8,05:25,05:55,07:04,11:49,12:45,01:56,02:33,03:00,04:24,04:31,05:55,07:30,
9,05:27,05:57,07:06,11:49,12:45,01:55,02:31,03:00,04:22,04:29,05:54,07:30,
10,05:28,05:58,07:08,11:49,12:45,01:54,02:30,03:00,04:21,04:28,05:53,07:30,
11,05:29,05:59,07:09,11:50,12:45,01:53,02:29,02:45,04:19,04:26,05:51,07:30,
12,05:31,06:01,07:11,11:50,12:45,01:52,02:27,02:45,04:18,04:25,05:50,07:30,
13,05:32,06:02,07:13,11:50,01:00,01:51,02:26,02:45,04:16,04:23,05:49,07:30,
14,05:33,06:03,07:14,11:50,12:45,01:50,02:25,02:45,04:15,04:22,05:48,07:30,
15,05:35,06:05,07:16,11:50,12:45,01:49,02:23,02:45,04:14,04:21,05:47,07:30,
16,05:36,06:06,07:18,11:50,12:45,01:48,02:22,02:45,04:12,04:19,05:45,07:30,
17,05:38,06:08,07:20,11:51,12:45,01:46,02:21,02:45,04:11,04:18,05:45,07:30,
18,05:39,06:09,07:21,11:51,12:45,01:46,02:20,02:45,04:10,04:17,05:44,07:30,
19,05:41,06:11,07:23,11:51,12:45,01:45,02:19,02:45,04:09,04:16,05:43,07:30,
20,05:43,06:13,07:25,11:51,01:00,01:44,02:17,02:45,04:07,04:14,05:41,07:30,
21,05:44,06:14,07:26,11:51,12:45,01:43,02:16,02:30,04:06,04:13,05:41,07:30,
22,05:46,06:16,07:28,11:52,12:45,01:42,02:15,02:30,04:05,04:12,05:40,07:30,
23,05:47,06:17,07:29,11:52,12:45,01:41,02:14,02:30,04:04,04:11,05:39,07:30,
24,05:49,06:19,07:31,11:52,12:45,01:41,02:14,02:30,04:03,04:10,05:38,07:30,
25,05:51,06:21,07:33,11:53,12:45,01:40,02:13,02:30,04:02,04:09,05:38,07:30,
26,05:52,06:22,07:34,11:53,12:45,01:40,02:12,02:30,04:01,04:08,05:37,07:30,
27,05:54,06:24,07:36,11:53,01:00,01:39,02:11,02:30,04:01,04:08,05:37,07:30,
28,05:55,06:25,07:37,11:54,12:45,01:38,02:10,02:30,04:00,04:07,05:36,07:30,
29,05:57,06:27,07:39,11:54,12:45,01:38,02:10,02:30,03:59,04:06,05:35,07:30,
30,05:58,06:28,07:40,11:54,12:45,01:37,02:09,02:30,03:58,04:05,05:35,07:30,
