,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,05:29,05:59,06:57,12:55,01:30,03:57,04:44,04:59,06:42,06:49,08:00,08:15,
2,05:31,06:01,06:59,12:55,01:30,03:55,04:42,04:57,06:40,06:47,07:58,08:15,
3,05:33,06:03,07:01,12:55,01:30,03:53,04:40,04:55,06:38,06:45,07:57,08:15,
4,05:34,06:04,07:02,12:54,01:45,03:52,04:38,04:53,06:35,06:42,07:54,08:15,
5,05:35,06:05,07:04,12:54,01:30,03:50,04:36,04:51,06:33,06:40,07:52,08:15,
6,05:37,06:07,07:06,12:54,01:30,03:48,04:34,04:49,06:31,06:38,07:50,08:15,
7,05:38,06:08,07:07,12:53,01:30,03:47,04:32,04:47,06:29,06:36,07:50,08:15,
8,05:39,06:09,07:09,12:53,01:30,03:45,04:30,04:45,06:26,06:33,07:47,08:15,
9,05:41,06:11,07:11,12:53,01:30,03:43,04:28,04:43,06:24,06:31,07:45,08:00,
10,05:42,06:12,07:12,12:53,01:30,03:42,04:26,04:41,06:22,06:29,07:43,08:00,
11,05:43,06:13,07:14,12:52,01:45,03:40,04:24,04:39,06:20,06:27,07:41,08:00,
12,05:45,06:15,07:16,12:52,01:30,03:38,04:22,04:37,06:18,06:25,07:39,08:00,
13,05:46,06:16,07:17,12:52,01:30,03:37,04:20,04:35,06:15,06:22,07:38,08:00,
14,05:47,06:17,07:19,12:52,01:30,03:35,04:18,04:33,06:13,06:20,07:36,08:00,
15,05:49,06:19,07:21,12:51,01:30,03:33,04:16,04:31,06:11,06:18,07:34,08:00,
16,05:50,06:20,07:22,12:51,01:30,03:32,04:15,04:30,06:09,06:16,07:32,08:00,
17,05:51,06:21,07:24,12:51,01:30,03:30,04:13,04:28,06:07,06:14,07:30,07:45,
18,05:53,06:23,07:26,12:51,01:45,03:28,04:11,04:26,06:05,06:12,07:28,07:45,
19,05:55,06:25,07:28,12:51,01:30,03:27,04:09,04:24,06:03,06:10,07:26,07:45,
20,05:56,06:26,07:29,12:50,01:30,03:25,04:07,04:22,06:00,06:07,07:23,07:45,
21,05:57,06:27,07:31,12:50,01:30,03:23,04:05,04:20,05:58,06:05,07:23,07:45,
22,05:59,06:29,07:33,12:50,01:30,03:22,04:03,04:18,05:56,06:03,07:21,07:45,
23,06:00,06:30,07:35,12:50,01:30,03:20,04:01,04:16,05:54,06:01,07:19,07:45,
24,06:01,06:31,07:36,12:50,01:30,03:19,03:59,04:14,05:52,05:59,07:17,07:45,
25,06:03,06:33,07:38,12:50,01:45,03:17,03:58,04:13,05:50,05:57,07:17,07:45,
26,06:04,06:34,07:40,12:49,01:30,03:16,03:56,04:11,05:48,05:55,07:15,07:45,
27,05:06,05:36,06:42,11:49,12:45,02:14,02:54,03:09,04:46,04:53,06:13,07:15,
28,05:07,05:37,06:43,11:49,12:45,02:13,02:52,03:07,04:45,04:52,06:12,07:15,
29,05:08,05:38,06:45,11:49,12:45,02:11,02:50,03:05,04:43,04:50,06:10,07:15,
30,05:10,05:40,06:47,11:49,12:45,02:10,02:49,03:04,04:41,04:48,06:08,07:15,
31,05:12,05:42,06:49,11:49,12:45,02:08,02:47,03:02,04:39,04:46,06:06,07:15,
