,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,05:30,05:50,06:58,12:55,01:45,03:56,04:43,05:00,06:41,06:48,07:59,08:15
2,05:32,05:52,07:00,12:55,01:30,03:54,04:41,05:00,06:39,06:46,07:57,08:15
3,05:34,05:54,07:02,12:54,01:30,03:53,04:39,05:00,06:36,06:43,07:55,08:15
4,05:35,05:55,07:03,12:54,01:30,03:51,04:37,05:00,06:34,06:41,07:53,08:15
5,05:36,05:56,07:05,12:54,01:30,03:49,04:35,05:00,06:32,06:39,07:51,08:15
6,05:38,05:58,07:07,12:54,01:30,03:47,04:33,05:00,06:30,06:37,07:49,08:15
7,05:39,05:59,07:08,12:53,01:30,03:46,04:31,05:00,06:27,06:34,07:48,08:15
8,05:40,06:00,07:10,12:53,01:45,03:44,04:29,04:45,06:25,06:32,07:46,08:00
9,05:42,06:02,07:12,12:53,01:30,03:42,04:27,04:45,06:23,06:30,07:44,08:00
10,05:43,06:03,07:13,12:52,01:30,03:41,04:25,04:45,06:21,06:28,07:42,08:00
11,05:44,06:04,07:15,12:52,01:30,03:39,04:23,04:45,06:19,06:26,07:40,08:00
12,05:46,06:06,07:17,12:52,01:30,03:37,04:21,04:45,06:16,06:23,07:37,08:00
13,05:47,06:07,07:18,12:52,01:30,03:36,04:19,04:45,06:14,06:21,07:37,08:00
14,05:48,06:08,07:20,12:51,01:30,03:34,04:17,04:45,06:12,06:19,07:35,08:00
15,05:50,06:10,07:22,12:51,01:45,03:32,04:15,04:45,06:10,06:17,07:33,08:00
16,05:51,06:11,07:23,12:51,01:30,03:31,04:14,04:30,06:08,06:15,07:31,07:45
17,05:52,06:12,07:25,12:51,01:30,03:29,04:12,04:30,06:06,06:13,07:29,07:45
18,05:54,06:14,07:27,12:51,01:30,03:27,04:10,04:30,06:04,06:11,07:27,07:45
19,05:56,06:16,07:29,12:50,01:30,03:26,04:08,04:30,06:02,06:09,07:25,07:45
20,05:57,06:17,07:30,12:50,01:30,03:24,04:06,04:30,05:59,06:06,07:22,07:45
21,05:58,06:18,07:32,12:50,01:30,03:23,04:04,04:30,05:57,06:04,07:22,07:45
22,06:00,06:20,07:34,12:50,01:45,03:21,04:02,04:30,05:55,06:02,07:20,07:45
23,06:00,06:20,07:35,12:50,01:30,03:19,04:00,04:30,05:53,06:00,07:18,07:45
24,06:02,06:22,07:37,12:50,01:30,03:18,03:58,04:15,05:51,05:58,07:16,07:30
25,06:04,06:24,07:39,12:50,01:30,03:16,03:57,04:15,05:49,05:56,07:16,07:30
26,06:05,06:25,07:41,12:49,01:30,03:15,03:55,04:15,05:47,05:54,07:14,07:30
27,06:06,06:26,07:42,12:49,01:30,03:13,03:53,04:15,05:45,05:52,07:12,07:30
28,06:08,06:28,07:44,12:49,01:30,03:12,03:51,04:15,05:44,05:51,07:11,07:30
29,06:09,06:29,07:46,12:49,01:45,03:10,03:50,04:15,05:42,05:49,07:09,07:30
30,06:11,06:31,07:48,12:49,01:30,03:09,03:48,04:15,05:40,05:47,07:07,07:30
31,05:12,05:32,06:49,11:49,12:45,02:07,02:46,03:00,04:38,04:45,06:05,07:30
