,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah,
1,04:39,05:09,06:11,01:05,01:30,04:43,05:40,06:00,07:49,07:56,09:00,09:15,
2,04:40,05:10,06:12,01:05,01:30,04:42,05:38,06:00,07:47,07:54,08:58,09:15,
3,04:42,05:12,06:14,01:05,01:30,04:40,05:36,06:00,07:44,07:51,08:55,09:15,
4,04:43,05:13,06:15,01:04,01:45,04:39,05:34,06:00,07:42,07:49,08:54,09:15,
5,04:45,05:15,06:17,01:04,01:30,04:37,05:33,06:00,07:40,07:47,08:52,09:15,
6,04:47,05:17,06:19,01:04,01:30,04:36,05:31,06:00,07:38,07:45,08:50,09:15,
7,04:48,05:18,06:20,01:03,01:30,04:34,05:29,06:00,07:35,07:42,08:48,09:15,
8,04:50,05:20,06:22,01:03,01:30,04:33,05:27,06:00,07:33,07:40,08:46,09:15,
9,04:51,05:21,06:23,01:03,01:30,04:31,05:25,05:45,07:31,07:38,08:44,09:00,
10,04:53,05:23,06:25,01:02,01:30,04:30,05:24,05:45,07:29,07:36,08:42,09:00,
11,04:55,05:25,06:27,01:02,01:45,04:28,05:22,05:45,07:26,07:33,08:40,09:00,
12,04:56,05:26,06:28,01:02,01:30,04:27,05:20,05:45,07:24,07:31,08:38,09:00,
13,04:58,05:28,06:30,01:01,01:30,04:25,05:18,05:45,07:22,07:29,08:36,09:00,
14,04:59,05:29,06:31,01:01,01:30,04:24,05:16,05:45,07:19,07:26,08:33,09:00,
15,05:01,05:31,06:33,01:01,01:30,04:22,05:14,05:45,07:17,07:24,08:32,09:00,
16,05:04,05:34,06:35,01:00,01:30,04:20,05:12,05:30,07:15,07:22,08:30,08:45,
17,05:05,05:35,06:36,01:00,01:30,04:19,05:10,05:30,07:12,07:19,08:27,08:45,
18,05:07,05:37,06:38,12:59,01:45,04:17,05:08,05:30,07:10,07:17,08:25,08:45,
19,05:09,05:39,06:39,12:59,01:30,04:15,05:06,05:30,07:08,07:15,08:23,08:45,
20,05:11,05:41,06:41,12:59,01:30,04:14,05:04,05:30,07:06,07:13,08:21,08:45,
21,05:13,05:43,06:43,12:58,01:30,04:12,05:03,05:30,07:03,07:10,08:19,08:45,
22,05:15,05:45,06:44,12:58,01:30,04:11,05:01,05:30,07:01,07:08,08:17,08:45,
23,05:17,05:47,06:46,12:58,01:30,04:09,04:59,05:15,06:59,07:06,08:15,08:30,
24,05:18,05:48,06:47,12:57,01:30,04:07,04:57,05:15,06:56,07:03,08:12,08:30,
25,05:21,05:51,06:49,12:57,01:45,04:06,04:55,05:15,06:54,07:01,08:11,08:30,
26,05:23,05:53,06:51,12:57,01:30,04:04,04:53,05:15,06:52,06:59,08:09,08:30,
27,05:24,05:54,06:52,12:56,01:30,04:02,04:51,05:15,06:49,06:56,08:06,08:30,
28,05:27,05:57,06:54,12:56,01:30,04:01,04:49,05:15,06:47,06:54,08:04,08:30,
29,05:28,05:58,06:55,12:56,01:30,03:59,04:47,05:15,06:45,06:52,08:02,08:30,
30,05:30,06:00,06:57,12:55,01:30,03:57,04:45,05:15,06:43,06:50,08:00,08:30,
