,Fajr,,,Zuhr,,Asr,,,Maghrib,,Isha,
Date,Begins,Jam?‘ah,Sunrise,Begins,Jam?‘ah,1 Mithl,2 Mithl,Jam?‘ah,Begins,Jam?‘ah,Begins,Jam?‘ah
1,04:38,04:58,06:10,01:05,01:30,04:43,05:40,06:00,07:50,07:57,09:01,09:15
2,04:40,05:00,06:12,01:05,01:30,04:42,05:38,06:00,07:47,07:54,08:58,09:15
3,04:41,05:01,06:13,01:05,01:45,04:40,05:37,06:00,07:45,07:52,08:56,09:15
4,04:43,05:03,06:15,01:04,01:30,04:39,05:35,06:00,07:43,07:50,08:55,09:15
5,04:45,05:05,06:17,01:04,01:30,04:38,05:33,06:00,07:41,07:48,08:53,09:15
6,04:46,05:06,06:18,01:04,01:30,04:36,05:31,06:00,07:38,07:45,08:50,09:15
7,04:48,05:08,06:20,01:03,01:30,04:35,05:29,06:00,07:36,07:43,08:49,09:15
8,04:49,05:09,06:21,01:03,01:30,04:33,05:28,06:00,07:34,07:41,08:47,09:15
9,04:51,05:11,06:23,01:03,01:30,04:32,05:26,05:45,07:31,07:38,08:44,09:00
10,04:53,05:13,06:25,01:02,01:45,04:30,05:24,05:45,07:29,07:36,08:42,09:00
11,04:54,05:14,06:26,01:02,01:30,04:29,05:22,05:45,07:27,07:34,08:41,09:00
12,04:56,05:16,06:28,01:02,01:30,04:27,05:20,05:45,07:25,07:32,08:39,09:00
13,04:57,05:17,06:29,01:01,01:30,04:25,05:18,05:45,07:22,07:29,08:36,09:00
14,04:59,05:19,06:31,01:01,01:30,04:24,05:16,05:45,07:20,07:27,08:34,09:00
15,05:01,05:21,06:33,01:01,01:30,04:22,05:15,05:45,07:18,07:25,08:33,09:00
16,05:03,05:23,06:34,01:00,01:30,04:21,05:13,05:30,07:15,07:22,08:30,08:45
17,05:05,05:25,06:36,01:00,01:45,04:19,05:11,05:30,07:13,07:20,08:28,08:45
18,05:06,05:26,06:37,01:00,01:30,04:18,05:09,05:30,07:11,07:18,08:26,08:45
19,05:09,05:29,06:39,12:59,01:30,04:16,05:07,05:30,07:08,07:15,08:23,08:45
20,05:11,05:31,06:41,12:59,01:30,04:14,05:05,05:30,07:06,07:13,08:21,08:45
21,05:12,05:32,06:42,12:58,01:30,04:13,05:03,05:30,07:04,07:11,08:20,08:45
22,05:15,05:35,06:44,12:58,01:30,04:11,05:01,05:30,07:02,07:09,08:18,08:45
23,05:16,05:36,06:45,12:58,01:30,04:09,04:59,05:15,06:59,07:06,08:15,08:30
24,05:18,05:38,06:47,12:57,01:45,04:08,04:57,05:15,06:57,07:04,08:13,08:30
25,05:21,05:41,06:49,12:57,01:30,04:06,04:55,05:15,06:55,07:02,08:12,08:30
26,05:22,05:42,06:50,12:57,01:30,04:04,04:53,05:15,06:52,06:59,08:09,08:30
27,05:24,05:44,06:52,12:56,01:30,04:03,04:51,05:15,06:50,06:57,08:07,08:30
28,05:26,05:46,06:53,12:56,01:30,04:01,04:49,05:15,06:48,06:55,08:05,08:30
29,05:28,05:48,06:55,12:56,01:30,03:59,04:47,05:15,06:45,06:52,08:02,08:30
30,05:30,05:50,06:57,12:55,01:30,03:58,04:45,05:15,06:43,06:50,08:00,08:30
